1322
babbitt|Spießer
babble|schwatzen
babbled|geschwatzt
babbler|Schwaetzer
babbles|schwaetzt
babbling|scwaetzen
babe|kleines Kind
babe|hübsches Fräulein
babies|Saeugling
baboon|Pavian
babushka|Großmutter, Oma (russ.)
baby|Baby (n)
baby|Kind (n)
baby|Säugling (m)
baby|Kleinkind (n)
Baby (n)|baby
babyhaft|babyish
babyhood|Frühkindheit
babyish|babyhaft
babysit|auf Kinder aufpassen
babysits|x
Babysitten|babysitting
Babysitter|babysitters
babysitters|Babysitter
babysitting|Babysitten
baccalaureate|Abitur,das
bacchanal|Bacchanalie, Orgie
Bacchanalie|bacchanal
bachelor|Junggeselle
bachelor|Junggeselle (m)
bachelorhood|Junggesellendasein
bachelors|Junggesellen
bachelors degree|Bakkalaureus der
bachelors degree|Bakkalaureus der philosophischen Fakultät (m)
bacillus|Bazille, fem.
back|Rücken (m)
back|unterstützen
back|wieder
back|zurück
back|zurück, Rücken
backache|Rückenschmerzen
backaches|Rückenschmerzen (pl)
backbite|verleumden
backbiter|Verleumder
backbone|Rückgrat
backbones|Rückgrate
backcountry|Hinterland
backdrop|Rückschlag
backdrops|Rückschläge
Backe (f)|cheek
backed|unterstützt
backen|bake
backen|baking
Backenzahn (m)|molar
backer|Finanzierer
backer|Unterstuetzer
backers|Unterstützer, Finanzierer
backers|Unterstuetzer, die
backfire|Fehlzündung
background|Hintergrund
backgrounds|Hintergründe
backhand|Rueckhand,fem.
backhanded|hinterruegs
backing|Unterstützung
backlash|Rückprall
backless|rueckenfrei
backpack|Rucksack,masc.
backpacker|Rucksackreisender, masc.,Rucksacktourist, masc.
backpacks|Rucksäcke
backpedal|rueckwaertsgehen, rueckwaertslaufen
Backpflaume (f)|prune
backrest|Rueckenlehne, fem.
backs|Rücken
backseat|Ruecksitz, masc.
backside|Rueckseite, fem.
backstabber|Verleumder
backstabbing|verleumden
backstage|hinter der Bühne
backstairs|Nebentreppen, die
backstitch|Rueckstich,der
backstitches|Rueckstiche, die
backstop|Rueckhalt,der
backstroke|Rueckenlage, die
backswing|Rueckhand, die
backt|bakes
backte|baked
backtracked|zurueck verfolgen
backup|Sicherungskopie
backups|Zweitkopien
backward|Hinterwaeldler
backwardly|hinterwaelderisch
backwards|rueckwaerts
Backwaren|bakings
backwater|Hinterland, das
backwaters|Hinterlaender, die
backwoods|Hinterwälder (m)
bacon|Speck (m)
bacteria|Bakterie, die
bad|schlecht
Bad (n)|bath
bad cut|Schlechtschnitt (m)
bad surface|schlechte Fahrbahn
bade|geboten
Badeanzug (m)|bathing suit
Bademantel (m)|bathrobe
Badematte (f)|bath mat
badend|bathing
Badewanne (f)|bath tub
Badezimmer (n)|bathroom
badge|Schild, das
badges|Schilder, die
badly|dringend
badminton|Federballspiel, das
badness|Schlechtigkeit, die
Badtuch (n)|bath towel
Baecker|baker
Baecker|bakers
Baeckerei|bakeshop
Baeckereien|bakeries
Baelle|balls
baffle|verwundern
baffled|verwundert
bafflement|Verwunderung, die
baffler|Verwunderer, der
bafflers|Verwunderer, die
baffles|verwundert
baffling|verwundern
bag|Beutel (m)
bag|Sack (m)
bag|Tasche (f)
bag|Tüte (f)
bagatelle|Kleinigkeit, die
bagatelles|kleinigkeiten
bagel|Kringel, der
bagels|Kringel, die
bagful|beutelvoll
baggage|Gepaeck, das
baggageman|Gepaecktraeger, der
baggagemen|Gepaecktraeger, die
bagged|eingesackt
bagger|Einsacker, der
baggers|Einsacker, die
bagpipe|Dudelsack, masc.
bagpiper|Dudelsackspieler, masc.
bagpipes|Dudelsaecke, pl.
bags|Taschen, pl.
baguette|franzoesische Weissbrot, das
Bahngleis (n)|train track
Bahnhof (m)|train station
Bahnsteig (m)|platform
Bahnübergang|level crossing
bail|Kaution, die
bailable|zu kautionieren
bailer|Kautiongeber, der
bailiff|Rechtspfleger, der
bailiffs|Rechtspfleger, die
bait|Koeder, masc.
baited|gekoedert
baiter|Koederer, der
baiting|koedern
baits|Koeder, die
bake|backen
bake|braten
baked|backte
baked|gebacken
baker|Baecker, masc.
bakeries|Baeckereien, pl.
bakers|Baecker, pl.
bakery|Bäckerei (f)
bakes|backt
bakeshop|Baeckerei
baking|backen
bakings|Backwaren, die
Bakkalaureus der|bachelors degree
