922
d'art|der Kunst
d'etat|des Staats
d'etat|staatlich
d'etre|des Seins
da|since
da|then
da|there
dab|betupfen
dab|Bißchen (n)
dab|Klecks (m)
dab|Tupfer (m)
dabble|besprengen, betupfen, planschen
dabbler|Amateur, Dilletant
dacha|Datscha, Datsche
dachshund|Dackel
dachshund|der Teckel
dachshunds|Dackel
dachshunds|die Teckel,pl.
dachte darum|thought about
Dachziegel (m)|tile
Dackel|dachshund
Dackel|dachshunds
dactyl|Daktylus; Finger, Zehe
dactylic|Finger...
dad|Vater, masc., Papa, masc.
daddies|Vaeter, pl.
daddy|Vati
daddy|Papa, masc.
daedal|dädalisch, geschickt, reichgestaltet, sinnreich, kompliziert
daemon|Daemon, masc.
daemons|Dämonen
daff|Gelbe Narzisse, Osterblume
daffodil|Gelbe Narzisse, Osterblume
daffodils|Gelbe Narzissen, Osterblumen
daffy|trottelhaft
daft|trottelhaft
daftness|Trottelhaftigkeit, Verrücktheit
dafür|instead
dag|Zotte, Zipfel, Fetzen
dagger|Dolch
daggers|Dolche
daguerreotypy|Daguerrotypie
Daguerrotypie|daguerreotypy
dahin|there
daily|taeglich
dairy|Milchwirtschaft (f)
dairy|Molkerei (f)
Daktylus; Finger|dactyl
dale|Tal
dalmatian|Dalmatiner
Dalmatiner|dalmatian
dam|Damm
damage|Schaden
damaged|beschädigte
damaged|geschaded
damaged|schädigte
damages|Schaeden
damaging|schaden
damals|then
Dame (f)|lady
Damen|ladies
Damen (pl)|ladies
Damenfriseur (m)|hairdresser
Damm|dam
dammit|verdammt(vulg.)
damned|verdammt
damp|nass
dance|Tanz (m)
dance|tanzen
dance floor|Tanzboden (m)
danced all night|tanzte alle Nacht
dancelike|taenzerisch
dancer|Taenzer, masc. , Taenzerin, fem.
dancers|Taenzer, pl.
dances|Taenze, pl.
dancing|tanzend
dandruff|Schuppen
dandruffy|schuppig
danger|Achtung (f)
danger|Gefahr (f)
danger|Lebensgefahr (f)
dangerous|gefaehrlich
dangerously|gefaehrlich
dangers|Gefahren, pl.
Danish|dänisch
dank|thanks
danke|thank you
Danke (pl)|thanks
dann|then
dapper|vornehm
dare|wagen, sich trauen
dares|wagt
darf|can
darf|may
dark|dunkel
dark|Dunkelheit (f)
dark|finster
darken|verdunkeln, abdunkeln
darker|dunkler
darkest|dunkelste, am dunkelsten
darkness|Dunkelheit
darkness|Finsternis
darling|Liebling
Darre (f)|kiln
darstellen|picture
darstellen|represent
darstellen verkoerpern|represent
darstellend|representative
Darstellung (f)|picture
darüber|over
das|baccalaureate
das|backwater
das|badge
das|badminton
das|baggage
das|baguette
das|balance
das|ballfield
das|ballgown
das|ballooning
das|ballpark
das|baluster
das|bandaid
das|bandana
das|bandana
das|banjo
das|rapier
das|saccharin
das|tabernacle
das|taboo
das|the
das |ballgown
das Alphabet|abc
das Elend|abjectness
das Ereignis|happening
das Etikett|ticket
das gehört mir nicht|that is not mine
das Gleichgewicht stören|unbalance
das Handbuch|handbook
das Happening|happening
das Hauptquartier|headquarter
das Haus|house
das ist alles|that is all
das ist alles|that will be all
das ist alles|that's all
das ist mir zu teuer|that is too expensive for me
das Karomuster|plaid
das macht zehn Mark bitte|that is ten DM please
das Madrigal|madrigal
das Magma|magma
das Magnesium|magnesium
das Makrame|macrame
das Ohr|ear
das Postschiff|mailboat
das Schwänzen|absenteeism
das Taschentuch|handkerchiefs
dashboard|Armaturenbrett, neutr.
dashboards|Armaturenbretter, neutr.,pl.
data|Datei (f)
data|Daten (f)
databanks|Datenbanken, fem., pl.
database|Datei (f)
database|Datenbank (f)
database|Datenbasis (f)
databases|Datenbasen, fem.,pl.
date|ausgehen
date|datieren
date|Dattel (f)
date|Datum (n)
date|Verabredung (f)
dated|datiert
dated|datierte
Datei (f)|data
Datei (f)|database
Datei (f)|file
Dateiaufbereiter (m)|editor
dateline|Datumsgrenze, fem.
Daten (f)|data
Datenbank (f)|database
Datenbanken|databanks
Datenbasen|databases
Datenbasis (f)|database
Datenträger (m)|medium
Datenverarbeitungsanlage (f)|computer
Datenwort (n)|word
datieren|date
datiert|dated
datierte|dated
Dativ|dative
dative|Dativ
Datscha|dacha
Datsche|dacha
Dattel (f)|date
Datum (n)|date
Datumsgrenze|dateline
dauerhaft|permanent
dauerhaft|permanently
dauerhaft|strong
dauern|last
dauern|take
dauernd|abiding
dauernd|perennial
daughter|Tochter (f)
Daumen (m)|thumb
day|Tag (m)
day trip|Tagereise (f)
dazuschalten|add
daß ich Sie belästigt habe|I am sorry to have troubled you
daß ist ein Weg es zu sagen|that is one way to say it
daß ist es|that is it
dead|außer betrieb
dead|tot
deadline|letzter Termin (m)
deadline|Stichtag (m)
deadline|Termin (m)
deaktivieren|inactivate
Dear (...)|geehrte (...)
Dear (...)|liebe (...)
decay|verkommen
December|Dezember
Decke (f)|blanket
Decke (f)|cover
Deckel (m)|cover
decken|cover
decken|tile
Deckung (f)|cover
deduct|abrechnen
deeply|tief
default|Unterlassung (f)
default|Versäumnis (f)
default|vorgegeben
degrees|grade
dehnen|strain
Dehnung (f)|strain
dein|your
deine|your
dekend darum|thinking about
delay|aufschieben
delay|verzögern
delay|Verzug (m)
delayed|verzögert
delayed|verzögerte
delete|ausstreichen
delete|löschen
delete|tilgen
delicate|delikat
delicate|fein
delicate|heikel
delicate|schmackhaft
delicate|zart
delicate|zierlich
delikat|delicate
