1003
each|jeder
eager|eifrig
eagerly|eifrig
eagerness|Eifer
eagle|Adler  (m)
eagle|Adler  (m)
eagles|die Adler
ear|das Ohr
ear|Ähre (f)
ear|Ohr (n)
ear canal|Ohrenkanal (m)
ear lobe|Ohrenlappen (m)
earache|Ohrenschmerzen (pl)
eardrop|Ohrentropfen  (pl)
eardrop|Ohrentropfen  (pl)
eardrum|Trommelfell  (n)
eardrum|Trommelfell  (n)
eardrums|die Trommelfelle
earl|Graf (England)
earl|Graf (England)
earldom|Grafschaft
earlier|eher
earlier|früher
earliest|frühest
earlobe|Ohrmuschel
earls|Grafen
early|baldig
early|früh
early|frühzeitig
early|fruh
early|zeitig
earmuff|Ohrenschützer
earn|verdienen
earned|verdient
earner|der Verdiener
earners|die Verdiener
earnest|ernst
earnestly|ernsthaft
earnestness|Ernsthaftigkeit
earning|verdienen
earnings|der Verdienst
earns|verdient
earphone|Kopfhörer
earphones|Kopfhörer
earplug|der Ohrenstoepsel
earring|Ohrring (m)
earrings|Ohrring (m)
earrings|Ohrring (m)
ears|die Ohren
ears|Ohren (pl)
earth|Erde (f)
earth|erden
earth|Erdung (f)
earthquake|Erdbeben (n)
earthquakes|Erdbeben (n)
earthworm|Regenwurm  (m)
earwax|der Ohrenschmalz
easel|Staffelei (f)
easier|leichter
easiest|am leichtesten
easily|einfach
east|ost
east|Osten (m)
Easter|Ostern (n)
easter|Ostern
eastern|östlich
eastern hemisphere|osterne Hemisphäre (f)
easy|bequem
easy|Einfach
easy|leicht
easy chair|Sessel (m)
eat|essen
eat|speisen
eatable|eßbar
eater|Esser
eavesdrop|lauschen
eben|just
eben|plane
Ebenbild (n)|image
Ebene (f)|plane
eccentric|exzentrisch
echo|Echo  (n)
Echo  (n)|echo
echt|real
echt|true
echt|unauthentic
ecologic|ökologisch
economic|volkswirtschaftlich
economic|wirtschaftlich
economical|ökonomisch
economical|sparsam
economical|wirtschaftlich
economically|auf sparsame weise
economically|sparsam
economics|Volkswirtschaftslehre (f)
economics|Wirtschaftswissenschaft (f)
economy|Ökonomie (f)
economy|Volkswirtschaft (f)
economy|Wirtschaft (f)
Ecuador|Equador
eddy|Wirbel (m)
edel|noble
Edelleute|noblemen
Edelmann|nobleman
edelste|noblest
Edelstein|gemstone
Edelstein (m)|jewel
Edelsteine|gemstones
edema|Oedem
edemas|Oedeme
edge|einfassen
edge|Kante (f)
edge|Rand (m)
edge|Schneide (f)
edible|essbar
edict|Edikt
edicts|Edikte
edieren|edit
edifice|Gebäude
edifices|Gebäude
edified|erbaut
edify|erbauen
edifying|erbaulich
Edikt|edict
Edikte|edicts
edit|edieren
edit|redigieren
edition|Auflage
editions|Auflagen
editor|Dateiaufbereiter (m)
editor|Editor (m)
editor|Redakteur (m)
Editor (m)|editor
editorial|Herausgeber (m)
editorial|Leitartikel (m)
editors|Herausgeber
edler|nobler
educate|ausbilden
educate|erziehen
educate|unterrichten
educated|gebildet
education|Erziehung
education|Ausbildung
educational|belehrend
educational|bildend
educational|erzieherisch
educationalist|Erzieher
educationist|Erzieher
eel|Aal (m)
eellike|Aal-ähnlich
eels|Aale
effect|Auswirkung (f)
effect|bewirken
effect|Wirkung (f)
effect|Wirkungskraft (f)
effective|wirksam
effective|wirkungsvoll
egg|Ei (n)
egg cup|Eierbecher (m)
egghead|Intellektueller
eggplant|Aubergine (f)
eggs|Eier (pl)
egocentric|egozentrisch
egocentrically|egozentrisch
egoism|Egoismus
Egoismus|egoism
Egoisten|egoists
egoistic|egoistisch
egoistical|egoistisch
egoistically|egoistisch
egoistisch|egoistic
egoistisch|egoistical
egoistisch|egoistically
egoists|Egoisten
egotistical|ichbezogen
egozentrisch|egocentric
egozentrisch|egocentrically
ehe|before
Ehe|wedlock
Ehe (f)|marriage
Ehefrau|wive
Ehefrau (f)|wife
Ehegattin (f)|wife
Ehemaenner|husbands
ehemalig|ancient
Ehemann (m)|husband
eher|earlier
eher|sooner
Ehre (f)|honor
ehren|honor
ehrgeizig|ambitious
ehrlich|fairly
ehrwürdig|venerable
Ei (n)|egg
Eiche|oak
Eiche (f)|oak tree
eichen|oaken
Eichen|oaks
Eichenholz|oakwood
Eidotter (n)|yolk
Eier (pl)|eggs
Eierbecher (m)|egg cup
Eierkrem (f)|custard
Eierkuchen (m)|omelet
Eifer|eagerness
Eifer|zeal
Eifer|zealousness
Eifer (m)|heat
Eifer (m)|zeal
Eiferer|zealot
eifrig|eager
eifrig|eagerly
eifrig|zealous
eifrig|zealously
eigen|proper
eigenartig|peculiar
Eigenschaft|qualification
Eigenschaft (f)|quality
Eigenschaftswort (n)|adjective
eigensinnig|willful
eigentlich|essentially
Eigentumswohnung (f)|condominium
Eigentümer (m)|owner
eigentümlich|peculiar
eight|acht
eighteen|achtzehn
eighteenth|achtzehnte
eighth|Achtel
eighties|Achtziger
eightieth|achtzigste
eighty|achtzig
eighty one|einundachtzig
eighty two|zweiundachtzig
eightyfold|achtzigfach
eilbote|special
Eile (f)|haste
Eile (f)|hurry
eilen|hasten
eilen|hurry
eilig|hasty
ein|a
ein|an
ein|one
ein anderer|another
ein Gerät warten|maintaining
einatmen|inhale
einbahn-|one-way
Einbahnfahrkarte (f)|one-way ticket
Einbahnstraße (f)|one way street
Einbahnstraße (f)|one-way street
Einbau (m)|installation
einbauen|install
Einbett (n)|one bed
Einbeulung (f)|indent
einbeziehen|include
einbringen|yield
eindeutig|clear
eindeutig|unambiguous
eindeutig|unbiased
Eindeutigkeit|unambiguity
eindrücken|indent
eine|a
eine|an
eine|one
eine von zweien|either
einem|a
einen|a
einen|one
einen Maulkorb anlegen|muzzle
einer|a
einer|one
einer von beiden|either
einers|ones
eines|a
eines|one
einfach|easily
Einfach|easy
Einfach|one way
einfach|plain
Einfach|simple
Einfach|single
Einfahrt (f)|entrance
einfassen|edge
Einfuhr (f)|import
einfältig|simple
einfügen|insert
einführen|import
Eingabe (f)|entry
Eingang (m)|doorway
Eingang (m)|entrance
Eingang (m)|entry
