862
Fabel|fable
fabelhaft|wonderful
fable|Fabel
fabricant|Hersteller
fabricate|herstellen
fabricated|hergestellt
fabricates|stellt her
Fabrik (f)|factory
Fabriken|factories
facade|Fassade
face|Angesicht (n)
face|Fratze (f)
face|Gesicht (n)
face|Schriftseite (f)
face powder|Gesichtspuder (m)
face powder|Puder (m)
faceless|gesichtslos
facelessness|Gesichstlosigkeit
faces|Gesichter
facial|gesichtsmassage
facial|im gesicht
facial soap|Gesichtsseife (f)
facilitate|erleichtern
facilitates|erleichtern
facilities|Anlagen (f)
facilities|Einrichtungen
facility|Leichtigkeit
facsimile|Reproduktion (f)
fact|Tatsache
faction|Splitterpartei (f)
factor|Faktor
factories|Fabriken
factory|Betriebsanlage (f)
factory|Fabrik (f)
facts|Tatsachen
factual|sachlich
fade|insipid
faehig|capable
Faehigkeit|ability
Faehigkeit|capableness
Fahne (f)|flag
Fahnenstange (f)|flag pole
Fahre (f)|travel
fahren|go
fahren|ride
fahrend|driving
Fahrer (m)|driver
Fahrerhaus|cab
Fahrgeld (n)|fare
Fahrkarte (f)|ticket
Fahrkarten|booking office
Fahrkartenschalter (m)|ticket office
Fahrkartenschreiber (m)|ticket clerk
Fahrkartenvertreter (m)|ticket agent
Fahrplan (m)|schedule
fahrplanmäßige Abfahrt|scheduled departure
fahrplanmäßige Ankunft|scheduled arrival
fahrplanmäßige Autobus|scheduled bus
fahrplanmäßige Flucht|scheduled flight
fahrplanmäßige Halt|scheduled stop
fahrplanmäßige Reise|scheduled trip
fahrplanmäßige Zug|scheduled train
Fahrpreis (m)|fare
Fahrrad|bicycle
Fahrrad|bike
Fahrrad (m)|bicycle
Fahrstuhl (m)|elevator
Fahrstuhltür (f)|elevator door
Fahrt (f)|ride
fahrt diesen Autobus nach (...)|does this bus go to (...)
Fahrzeug|vehicle
Fahrzeuge|vehicles
fail|scheitern
fails|scheitert
failure|Ausfall
failures|Ausfälle
fair|gerecht
fair|hübsch
fair|Jahrmarkt (m)
fair|Messe (f)
fair|schön
fairies|Feen
fairly|ehrlich
fairly|ziemlich
fairy|Fee
fairy tale|Märchen (n)
faithfully|ergebenst
faithfully|treu
faithfully|treulich
Faktor|factor
fall|absinken
fall|abstürzen
fall|Absturz (m)
fall|Anbruch (m)
fall|Herbst (m)
fall|Sturz (m)
falling rock|Steinschlag
falls|if
falsch|false
falsch|phony
falsch|wrong
false|falsch
familiar|familiär
familiar|geläufig
familiar|vertraut
Familie (f)|family
familiär|familiar
familiär|intimate
family|Familie (f)
family|Geblütt (n)
family|Geschlecht (n)
famos|famous
famous|berühmt
famous|famos
fan|begeisterte Anhänger (m)
fan|Fan (m)
fan|Fächer (m)
fan|Ventilator (m)
Fan (m)|fan
far|entfernt
far|weit
far off|fern
Farbe (f)|color
Farbe (f)|paint
Farbe (f)|suit
farbenfreudig|colorful
farbenreich|colorful
Farbespülen (n)|color rinse
Farbton (m)|shade
fare|Fahrgeld (n)
fare|Fahrpreis (m)
fare|Kost (f)
farm|Bauernhof (m)
farm|bewirtschaften
farmer|Bauer (m)
farmer|Farmer (m)
farmer|Ökonom (m)
farmer|Landwirt (m)
Farmer (m)|farmer
fart|Furz (n)
Fasan (m)|pheasant
Fassade|facade
Fassade (f)|façade
Fassung (f)|version
fassungslos|abashed
fast|almost
fast|fasten
fast|schnell
fast|waschecht
fasten|fast
fasten seat belts|Sicherheitsguten festmachen
faster|schneller
faster|schnellere
fat|dick
fat|feist
fat|fett
father|Vater (m)
fatter|fetter
faul|peccant
Faust (f)|fist
Faustschlag|punch
fax|Fax (n)
Fax (n)|fax
fax machine|Faxmaschine (f)
Faxmaschine (f)|fax machine
Faß (n)|keg
façade|Fassade (f)
fear|Furcht
feared|gefürchtet
fearful|furchtbar
fearfully|furchtbar
fearless|furchtlos
fearlessly|furchtlos
fearlessness|Furchtlosigkeit
feasibility|Machbarkeit
feasible|machbar
feasibleness|Machbarkeit
feasibly|machbar
feast|Fest
feasts|Feste
feather|Feder
featherbed|Federbett
feathers|Federn
febrile|fiebrig
februar|February
February|februar
fechten|fence
Feder|feather
Feder (f)|pen
Feder (f)|spring
federal|Bundes-
federalism|Föderalismus
Federballspiel|badminton
Federbett|featherbed
Federn|feathers
Fee|fairy
fee|Gebühr
feeble|schwach
feebleness|Schwäche
feebler|schwächer
feeblest|schwächste
feed|füttern
feeds|füttert
feel|fühlen
feel free|freifühlen
feelingly|gefühlvoll
Feen|fairies
fees|Klaute (pl)
fees|Kosten (pl)
feet|Füße (pl)
fegen|brush
Fehl-|mal
fehlend|wanting
Fehlersignal (n)|alarm
Fehlzündung|backfire
Feier (f)|celebration
Feierlichkeit (f)|ceremony
Feigen (pl)|figs
Feigheit|wimpiness
Feigling|wimp
Feile (f)|file
feilen|file
feilschen|bargain
feilschen|haggle
fein|delicate
fein|fine
fein|nice
Feinheit (f)|nuance
feist|fat
feld|field
Feld|field
felicitate|beglückwünschen
felicitation|Glückwunsch
feline|katzenartig
fell|fiel
fell|fällen
fell|niederschlagen
fell|schlagen
felled|gefällt
fellow|Kamerad
fellows|Kammeraden
fellowship|Kameradschaft
felon|Verbrecher
felony|Verbrechen
Fels (m)|rock
Felsen (m)|rock
felsig|rocky
felt|Filz
fem|bandwidth
fem.|abolishment
fem.|bacillus
fem.|backhand
fem.|backrest
fem.|backside
fem.|ballerina
fem.|ballistics
fem.|ballooner
fem.|ballot
fem.|ballpark
fem.|banality
fem.|dancer
fem.|databanks
fem.|databases
fem.|dateline
female|Frau (f)
female|Weib (n)
female|Weibchen (n)
female|weiblich
female|insult
female|insults
feminine|weiblich
feminineness|Weiblichkeit
femininity|Weiblichkeit
fence|Einzäunung (f)
fence|fechten
fence|Staket (n)
fence|Zaun (m)
Fenster|window
Fenster (n)|window
Fenster (pl)|windows
Fensterglas (n)|window glass
fensterlos|windowless
Fensterplatz (m)|window seat
Fensterscheibe|windowpane
Fensterscheiben|windowpanes
fern|distant
fern|far off
ferner|also
ferner|furthermore
ferner|moreover
Fernsehen (n)|television
Fernsehennachrichten (pl)|television news
Fernsehenprogramm (n)|television program
Fernsprecher (m)|telephone
ferry boat|Fähre (f)
Ferse (f)|heel
Fersprechzeller (m)|telephone booth
fertig|finished
fertig|ready
Fessel (f)|bond
fesseln die losen Ende|tie up loose ends
Fest|feast
fest|fixed
fest|tight
Fest (n)|celebration
Feste|feasts
festgelegt|fixed
festgesetzt|stated
festgesetzt spezifiziert|stated
festlegen|fixed
festmachen|hitch
Festrate (f)|fixed rate
festsetzung|establishing
Festung (f)|fortress
fett|fat
fett|greasy
fett|obese
Fett (n)|grease
fetten|grease
fetter|fatter
fettig|greasy
fettleibig|obese
Fettleibigkeit|obesity
Fetzen|dag
fetzen|rag
feucht|moist
Feuer (n)|fire
Feuerdrill (m)|fire drill
feuerfest|flameproof
feuern|fire
Feuerstelle (f)|hearth
Feuerwehrmann (m)|fireman
Feuezeug (n)|cigarette lighter
fever|Fieber (n)
feverish|fieberhaft
few|einige
few|wenig
few|wenige
fewer|weniger
fghfgh|heteroscedasticity
fiancee|Verlobte (f)
Fichte (f)|pine
Fieber (n)|fever
Fieber (n)|temperature
fieberhaft|feverish
fiebrig|febrile
fiel|fell
field|feld
field|Feld
fiend|Teufel (m)
fifteen|fünfzehn
fifth|fünft-
fifth|fünfte
fifth|fünfter
fifty|fünfzig
fifty one|einundfünfzig
fight|Kampf (m)
fight|kämpfen
fight|raufen
fight|sich schlagen
fight|streiten
fight|wehren
figs|Feigen (pl)
file|Akte (f)
file|Brief (m)
file|Datei (f)
file|einordnen
file|einreiten
file|Feile (f)
file|feilen
filet|als Filet herrichten
filet|Filet (n)
Filet (n)|filet
Filet (n)|steak
filing cabinet|Aktenschrank (m)
filing drawer|Aktenschublade (f)
fill|ausfüllen
fill|bekleiden
fill|besetzen
fill|erfüllen
fill|füllen
film|Film (n)
film|filmen
film|verfilmen
Film (m)|movie
Film (n)|film
Filme (pl)|movies
filmen|film
Filmrolle (f)|roll of film
Filz|felt
final|abschließend
final|endgültig
final|endlich
final|schließlich
finally|endlich
finally|schließlich
finally|zuletzt
financial|finanziell
finanziell|financial
Finanzierer|backer
Finanzierer|backers
find out|herausfinden
finden|locate
fine|fein
fine|Geldstrafe (f)
fine|genau
fine|Strafe (f)
fine|Strafgebühr (f)
finger|befühlen
finger|Finger (m)
Finger (m)|finger
Finger (pl)|fingers
finger food|Fingeressen (n)
Finger...|dactylic
Fingerabdruck (m)|fingerprint
Fingeressen (n)|finger food
Fingerknöchel (m)|knuckle
Fingernagel (m)|fingernail
fingernail|Fingernagel (m)
fingerprint|Fingerabdruck (m)
fingers|Finger (pl)
finished|abgeschlossen
finished|beendet
finished|ende
finished|fertig
finster|dark
finster|gloomy
Finsternis|darkness
fire|anfeuern
fire|Feuer (n)
fire|feuern
fire drill|Feuerdrill (m)
fired|gefeuert
fireman|Feuerwehrmann (m)
fireplace|Kamin (m)
Firma (n)|company
first|beste
first|erst
first|erste
first|ersten
first|erstens
first|erster
first|frühest
first|zuerst
Fisch (m)|fish
Fische (f)|Pisces
fischen|fish
fischend|fishing
Fischer (m)|fisherman
Fischerboot (n)|fishing boat
fish|angeln
fish|Fisch (m)
fish|fischen
fisherman|Angler (m)
fisherman|Fischer (m)
fishing|fischend
fishing boat|Fischerboot (n)
fishing line|Angelschnur (f)
fishing net|Angelnetz (n)
fishing reel|Angelspule (f)
fishing rod|Angel (f)
fishing rod|Angelrute (f)
fist|Faust (f)
fit|anmessen
fit|anpassen
fit|ausstatten
fit|sitzen
fit|tauglich
five|fünf
fixed|fest
fixed|festgelegt
fixed|festlegen
fixed rate|Festrate (f)
flach|flat
Flachrate (f)|flat rate
flag|Fahne (f)
flag|nachlassen
flag pole|Fahnenstange (f)
flageolet|harmonischer Oberton
Flaggschiff|flagship
flagship|Flaggschiff
flake|Flocke
flaked|abgeblättert
flameproof|feuerfest
flamethrower|Flammenwerfer
Flammenwerfer|flamethrower
flap|Klappe
Flasche (f)|bottle
Flaschewasser (n)|bottled water
flash|blinken
flash|Blitz m)
flash|blitzlicht (n)
flash|zucken
flashlight|Taschenlampe (f)
flat|überständig
flat|flach
flat|Mietwohnung (f)
flat|platt
flat|wohnung
flat rate|Flachrate (f)
flat tire|Panne (f)
flatter|schmeicheln
flatulence|Blähung (f)
flau|insipid
Flaum (m)|down
Fledermaus|bat
Fleisch (n)|meat
Fleischbrühe (f)|broth
Fleischerladen (m)|butcher shop
fleischton|flesh tone
Fleischton (m)|flesh tone
flesh tone|fleischton
flesh tone|Fleischton (m)
flew|flog
Flieger (m)|flyer
fliegt das Flugzeug nach (...) direkt|is there a direct flight to (...)
Fliese (f)|tile
flight|Flucht (f)
flight|Flug (m)
Flittchen (n)|muffin
Flocke|flake
flog|flew
floor|Boden (m)
floor|Etage (f)
floor|Fußboden (m)
floor|Stockwerk (n)
floppy disk|Diskette (f)
Florett|rapier
Flotte (f)|navy
flour|Mehl (n)
flower|blühen
flower|Blume (f)
flowered|geblümt
flowers|Blumen (pl)
flu|Grippe (f)
Flucht (f)|flight
Flug (m)|flight
Flugblatt|leaflet
fluggesellschaft|airline
flughafen|airport
Flughafen|airports
Flughafen (m)|airport
Flugplatz|airfield
Flugplatz (m)|airport
Flugplatze|airfields
flugzeug|aircraft
Flugzeug|airplane
Flugzeug (n)|airplane
Flugzeug (n)|plane
Flugzeuge|airplanes
flute|Flöte (f)
flute|Nuten (m)
Fluß (m)|river
flyer|Flieger (m)
Fläche (f)|area
Fläche (f)|plane
Flöte (f)|flute
flüchten|abscond
Flüchtige|absconder
Flüchtiger|absconder
Flügel (m)|wing
Flüssigkeitsschwund|ullage
folding|zusammenlegbar
folgen|follow
folgen|tail
folgend|next
folgende Jahr (n)|next year
folgende Woche (f)|next week
folk|Leute (f)
folk music|Folkmusik (f)
Folkmusik (f)|folk music
follow|befolgen
follow|folgen
follow|nachgehen
follow|nachkommen
font|Schriftart (f)
font|Schriftsatz (f)
food|Essen (n)
food|Futter (n)
food|Nahrung (f)
food|Speise (f)
foot|Fuß (m)
football|Fußball
for|als
for|denn
for|für
for|seit
for|zu
for a long time|anerkennen
forbid|verbieten
forbidden|verboten
fordern|require
Forelle (f)|trout
forest|Forst (m)
forest|Wald (m)
forested|bewaldet
forever|für immer
forever yours|immer dein
forget|vergessen
forgetful|vergesslich
forgetfully|vergesslich
forgetfulness|Vergesslichkeit
forgettable|vergebbar
forgetter|Vergesser
forgetting|vergessend
forgivable|verzeihlich
forgivably|verzeihlich
forgive|erlassen
forgive|vergeben
forgive|verzeihen
forgiveable|vergebbar
forgiveably|vergebbar
forgiven|vergeben
forgo|verzichten auf
forgot|vergass
forgotten|vergessen
fork|Besteck (n)
fork|Gabel
fork|Gabel (f)
fork|gabeln
fork|Verzweigung (f)
forked|aufgegabelt
forks|Gabeln
Form (f)|mold
Form (f)|shape
formal|formell
Formaldehyd|formaldehyde
formaldehyde|Formaldehyd
Format|caliber
format|Format (n)
Format (n)|format
formell|formal
formen|model
formen|mold
formen|shape
formte|shaped
Forst (m)|forest
fortbestehen|continue
fortgehen|depart
fortress|Festung (f)
Fortschritt (m)|progress
fortunate|glücklich
fortune|Glück (n)
forty|vierzig
forty one|einundviertzig
forward|vorwärts
Fotoabzug (m)|print
Fotograf (m)|photographer
fought|gekämpft
found|gefunden
fountain|Brunnen (m)
fountain|Springbrunnen (m)
four|vier
four hundred|vierhundert
four thousand|viertausend
fourteen|vierzehn
fourth|vierte
fowl|Geflügel (n)
fowl|Huhn (n)
fraction|Bruch (m)
fraction|Bruckteil (m)
fracture|Bruch (m)
fractured|gebrochen
Frage (f)|query
Frage (f)|question
fragen|ask
fragen|query
fragen|question
fragend|questioning
fragile|zerbrechlich
fraglich|questionable
fraglich bedenklich|questionable
fragwürdig|questionable
frame|Gestalt (f)
frame|Rahmen (m)
France|Frankreich
frankiert|stamped
Frankreich|France
franzoesische Weissbrot|baguette
französisch|French
französische Franc|French Franc
französische gebraten|french fried
