595
kabab|kabob
Kabal|cabal
Kabala|cabbala
Kabarett|cabaret
Kabel|cable
Kabel|cablegram
Kabel (n)|cable
Kabel(plural)|cables
Kabeljau (m)|cod
Kabeljau (m)|codfish
kabeln|cable
Kabelschlauch|umbilical
Kabine|cabin
Kabine|cage
Kabine (f)|cabin
Kabinett|cabinet
Kabinett (n)|cabinet
kabob|kabab
Kabriolett|cabriolet
Kadaster|cadastre
Kadaver|cadaver
Kadaverisch|cadaveric
Kadenz|cadence
Kaffee (m)|coffee
Kaffein|caffeine
Kaftan|caftan
kahl|bald
kahl|bare
Kahn (m)|barge
Kahn (m)|boat
Kai (m)|quay
Kaimole (f)|pier
kaiser|broetchen
kaiser|emperor
Kajak|kayak
Kajaks|kayaks
Kajüte (f)|cabin
Kakao|cacao
Kaktus|cactus
Kalb|calf
Kalb (n)|veal
Kalbfleisch (n)|veal
kaleidoscope|Kaleidoskop
kaleidoscopes|Kaleidoskope
Kaleidoskop|kaleidoscope
Kaleidoskope|kaleidoscopes
Kalender|calendar
Kaliber|caliber
kalibrieren|calibrate
kalibrieren|calibrating
kalibriert|calibrated
kalibriert|calibrates
kalibrierung|calibration
kalibrierungen|calibrations
Kaliko|calico
Kalk (m)|lime
kalken|lime
Kalkulator|calculator
kalkulierbar|calculable
kalkulieren|calculate
Kalorie|calorie
Kalorie|kcal
kalt|cold
Kalzium|calcium
kam|came
Kamera (f)|camera
Kamerad|fellow
Kameradschaft|fellowship
Kamin (m)|fireplace
Kamin (m)|hearth
Kamm (m)|comb
Kammer (m)|room
Kammeraden|fellows
Kammerverschluß (m)|bolt
Kampagne|campaign
Kampf (m)|fight
Kanada|Canada
Kanadier (m)|Canadian
kanadisch|Canadian
Kanal (m)|canal
Kanalboot (n)|barge
Kandiszucher (m)|candy
kangaroo|Känguruh
Kaninchen|rabbits
Kaninchen (n)|rabbit
kann|can
kann|could
kann|may
Kanne (f)|can
Kanone (f)|gun
Kante (f)|edge
Kapaun (m)|capon
Kapelle (f)|band
Kapelle (f)|orchestra
Kapellmeister|bandmaster
Kapital (n)|capital
Kapitalist (m)|capitalist
Kappe (f)|cap
Kappe (f)|hood
kaputt|broken
Kapuze (f)|hood
Karibische See (f)|Caribbean Sea
kariert|plaided
Karikatur (m)|cartoon
Karneval (m)|carnival
Karo (n)|diamond
Karotte (f)|carrot
Karren (m)|cart
Karte|cart
Karte (f)|card
Karte (f)|map
Kartoffelnpüree (n)|mashed potatoes
Karton|packboard
Kartusche (f)|cartridge
karyatid|Karyatide
Karyatide|karyatid
Kasse (f)|cash
Kasse (f)|cashier
Kassette (f)|cassette
kassieren|collect
Kassierer (m)|cashier
kasteien|macerate
Kasten (m)|bin
Kasten (m)|box
Kasten (m)|case
Katalog|catalogue
Katalog (m)|catalog
Kathedrale (f)|cathedral
katholisch|catholic
Katta|ringtail
Kattun|calico
Katze (f)|cat
katzenartig|feline
kaufen|buy
Kaufer|buyer
Kaufmann (m)|businessman
kaufmännisch|commercial
kauft|buys
Kaukasier (m)|caucasian
kaum|hardly
kaustisch|caustic
Kaution|bail
Kautiongeber|bailer
kayak|Kajak
kayaks|Kajaks
kcal|Kalorie
keener|Streber
keep|aufhalten
keep|behalten
keep|bewahren
keep|einhalten
keep|erhalten
keep|halten
keepsake|Andenken
keepsakes|Andenken
keg|Faß (n)
keg|kleines Faß (n)
Kehle (f)|throat
kehren|brush
Keil|wedge
Keim (m)|germ
kein|no
kein|none
keine|no
keine|none
keine Problem|that is not a problem
keiner|neither
keiner|nobody
keiner|none
keiner weder|neither
keines|none
Keks (m)|cookie
Kellner|waiters
Kellner (m)|waiter
Kellnerin|waitresses
Kellnerin (f)|waitress
kennel|Zwinger
kennzeichnen|label
Kennzeichnung (f)|identification
kept|behielt
kept|hielt
Kerker (m)|jail
Kern (m)|kernel
kernel|Kern (m)
Kerosen|kerosene
kerosene|Kerosen
Kerosin|kerosine
kerosine|Kerosin
Kerze (f)|candle
Kerzelicht|candlelight
Keule (f)|club
Keule (f)|joint
Keule (f)|leg
key|Lösung (f)
key|Schlüssel (m)
key|Taste (f)
key|Tonart (f)
keyboard|Tastatur (f)
keyboard driver|Tastaturfahrer (m)
keyhole|Schlüsselloch
keyholes|Schlüssellöcher
keys|Leitfäden (pl)
keys|Tasten (pl)
keystroke|Tastenanschlag
keystrokes|Tastenanschläge
kick|Fusstritt (m)
kick|stoßen
kick|strampeln
kick|treten
kick|Tritt (m)
kicked upstairs|oben getreten
kickoff|Anstoss (Fussball)
kid|Kind (mundartlich)
kidnap|entführen
kidnapper|Entführer
kidney|Niere
Kieferföhre (f)|pine
Kiesel|pebble
Kiesel (m)|pebble
kieselig|pebbled
Kieselstein|pebble
Kieselstein (m)|pebble
Kieselsteine|pebbles
kill|töten
kiln|Darre (f)
kilo|Kilo (n)
Kilo (n)|kilo
Kilo (n)|kilogram
kilogram|Kilo (n)
kilogram|Kilogramm (n)
Kilogramm (n)|kilogram
kilometer|Kilometer (m)
Kilometer (m)|kilometer
Kind|bambino
Kind (mundartlich)|kid
Kind (n)|baby
Kind (n)|child
kindbett|childbed
kindbett|childbed
kinder|children
Kinder (pl)|children
Kindermädchen|nanny
Kindermädchen (n)|nurse
kindheit|childhood
kindheit|childhood
kindlich|childish
kindlich|childish
kindlich|childlike
kindlich|childlike
kindlos|childless
kindlos|childless
king|König (m)
kingdom|Königreich (n)
kingdom|Reich (n)
Kino (n)|cinema
kiosk|Kiosk (n)
kiosk|Verkaufsstand (m)
Kiosk (n)|kiosk
Kirche (f)|church
Kirchenlied (n)|chant
Kirsche (f)|cherry
kismet|Kismet, Schicksal
kiss|küssen
kiss|Kuß (m)
kissed|küsste
kissing|küssend
Kiste (f)|chest
kitchen|Küche (f)
kitchenware|Küchenartikel, Küechenware
kite|Drachen (m)
kitsch|Kitsch (n)
Kitsch (n)|kitsch
kitschisch|campy
kitten|Kätzchen (n)
klagen|wail
klammern|staple
Klappe|flap
klar|clear
klassisch|classical
Klatsch (m)|gossip
klatschen|gossip
Klatzkoepfigkeit|baldness
Klaute (pl)|fees
Klavier (n)|piano
klebrig|stringy
klebrig|viscous
Klecks (m)|dab
kleid (f)|clothes
kleidete|dressed
Kleidung (f)|clothes
Kleidung (f)|clothing
Kleidung (f)|dress
klein|small
Kleinanzeige (f)|ad
Kleinbauer|peasant
Kleinbauern|peasants
Kleinbauernstand|peasantry
Kleinbus|minibus
Kleinbus (m)|minibus
kleine Finger (m)|pinkie finger
kleine Suende; Kavaliersdelikt|peccadillo
kleine Zehe (f)|little toe
kleiner|less
kleiner|smaller
kleines Faß (n)|keg
kleines Kind|babe
kleines Kind (n)|toddler
Kleinigkeit|bagatelle
kleinigkeiten|bagatelles
Kleinkind (n)|baby
Kleinstadt (f)|town
klemme|jam
klemmen|jam
Kleptomane|kleptomaniac
kleptomania|Kleptomanie
kleptomaniac|Kleptomane
Kleptomanie|kleptomania
klettern|climb
klettern|climbing
klettete|scrambled
Klick (n)|click
klimmen|climb
Klingel (m)|bell
klingen|sound
Klinik (f)|hospital
Klippe (f)|cliff
Klischee (n)|cliché
klopfen|knock
Kloster|monastery
Klub (m)|club
kläffen|yelp
klären|clear
Klüver (m)|jib
Knabe|laddie
knacken|click
knapp|rare
knapp|tight
knead|kneten
knead|massieren
knee|Knie (n)
Kneifzange (pl)|pliers
Kneipe (f)|joint
Kneipe (f)|tavern
kneten|knead
Knie (n)|knee
knife|Besteck (n)
knife|Messer (n)
Kniff (m)|trick
knifflig|tricky
knight|Ritter
knit|stricken
knitted|strickte
knitting|strickend
knitting|Strickzeu (n)g
Knoblauch (m)|garlic
knochen (m)|bone
knock|klopfen
Knopf (m)|button
Knorpel (m)|gristle
knorren|knot
knot|knorren
knot|Knoten (m)
knot|knüpfen
Knoten|node
Knoten|nodes
Knoten (m)|knot
knotted|verknüpfte
Know-how|knowhow
knowhow|Know-how, Wissen
knowledge|Wissen
knuckle|Fingerknöchel (m)
knuckle|Gelenk (n)
knuckle|Knöchel (m)
Knöchel (m)|ankle
Knöchel (m)|knuckle
knüpfen|knot
knüpfen|tie
Knüppel (m)|billy club
Knüppel (m)|club
Koch (m)|cook
kochen|boil
kochen|cook
kochend|aboil
Kodepage (m)|code page
Koeder|bait
Koeder|baits
Koederer|baiter
koedern|baiting
Koffer (m)|suitcase
Koffer (m)|trunk
Kognak (m)|brandy
Kohl|cabbage
Kohl (m)|cabbage
Kohlkopf (m)|cabbage
kolben (n)|butt
Kollegium (n)|college
Kollekte (f)|collect
Koller (m)|rage
Kolumbien|columbia
Kombination (f)|combination
kombinieren|join
komfortabel|comfortable
komisch|quizzical
komischer Kauz|weirdie
komischer Kauz|weirdo
Komm mit!|c'mon
Komma (n)|comma
Kommando|command
komme|come
komme ich hier zum Zoo|is this the way to the zoo
kommen|come
kommen|get
kommend|coming
kommerziell|commercial
kommt Frühstück mit das Zimmer|does breakfast come with the room
kommunal|municipal
Kommunikationen (pl)|communications
Kommunist (m)|communist
Kompagnon (m)|partner
kompakt|compact
Kompakte Scheibe (f)|CD
komplett|completed
kompliziert|daedal
kompliziert|tricky
komprimiere|squeezed
Kondom (n)|condom
Konferenz (f)|conference
Konfitüre (f)|jam
Kongatrommel (f)|conga drum
Konjugation (f)|conjugation
konjugieren|conjugate
konnte|could
Kono (pl)|movies
konservativ|conservative
Konservative (m)|conservative
Konsonant (m)|consonant
Konsulat (n)|consulate
Konsum|consumption
Kontakt (m)|contact
Kontinent (m)|continent
kontinental|continental
Konto|account
Kontor (n)|office
Kontrolle (f)|check
konzentrieren|package
Kopf (m)|head
Kopfhörer|earphone
Kopfhörer|earphones
Kopfsalat (m)|lettuce
Kopfschmerz (m)|headache
Kopfsprung (m)|dive
Kopftuch|bandana
Kopie (f)|copy
Kopien (pl)|copies
kopieren|copy
kopiert|copies
Koralle (f)|coral
Korb|basket
Korbball (m)|basketball
Korn (n)|corn
kosen|caress
Kosmetikerin (f)|beautician
kosmisch|cosmic
Kosmos (m)|cosmos
Kost (f)|fare
Kosta-Rika|Costa Rica
kosten|charge
kosten|cost
Kosten (f)|cost
Kosten (pl)|charges 
Kosten (pl)|fees
Kostüm (n)|costume
Kot (m)|dirt
Kotelette (pl)|chops
Kotteletten (pl)|sideburns
kraeftig|heavyset
Kraftübertragung (f)|transmission
Krampe (f)|staple
Krampf (m)|cramp
krampft ein|cramps
krank|ill
krank|sick
Krankenauto (n)|ambulance
Krankenhaus (n)|hospital
Krankenschwester (f)|nurse
Krankenwagen (m)|ambulance
Krankheit|ailment
Krankheit (f)|illness
Krankheiten|ailments
Kranz (m)|belt
Krapp|madder
kraus|curly
Kraut (n)|plant
Krawatte (f)|ascot
