944
ma|Mutti
ma'am|gnädige Frau (f)
macabre|Schotterdecke
macabrely|makaber
macaroon|Makrone
mace|Muskatblüte
macerate|erweichen, auslaugen, kasteien
maces|Irrgärten
mach hin|c'mon
mach schon|c'mon
mach zu|c'mon
machbar|doable
machbar|feasible
machbar|feasibly
Machbarkeit|feasibility
Machbarkeit|feasibleness
machen|do
machen|make
machen einen Umweg|detour
Macher|maker
machete|die Machete
machination|Anschlag
machine|die Maschine
machinelike|maschinenähnlich
machineries|Maschinerien
machinery|Maschinerie
machines|Maschinen
machinist|Maschinist, Maschinennäherin
macho|der Macho
Macht (f)|might
macht gewalt|might
machte ausfindig|located
machtlos|powerless
macintosh|Regenmantel
mack|Regenmantel
mackerel|Makrele (f)
mackerels|die Makrelen
mackintosh|Regenmantel
macrame|das Makrame
macro|Makro
macrobiotic|makrobiotisch
macroeconomic|makroökonomisch
macroeconomics|Makroökonomie
macromolecular|makromolekular
macromolecule|Macromolekül
macromolecules|Macromoleküle
Macromolekül|macromolecule
Macromoleküle|macromolecules
macrophage|Makrophage
macroprocessor|der Makroprozessor
macroscopic|makroskopisch
mad|verrückt
madam|gnädige Frau (f)
madcap|toll, Wildfang, Tollkopf
maddening|zum Verrücktwerden
maddeningly|unerträglich
madder|Krapp
made|hergestellt (in)
mademoiselle|Fräulein
mademoiselles|Fräuleins
madhouse|die Irrenanstalt
madly|gierig, verrückt auf
madman|der Irre
madmen|die Irren
madness|die Verrücktheit
madrigal|das Madrigal
madwoman|Verrückte Frau
madwomen|Verrückte Frauen
Maedchen|gal
maestro|Maestro, Dirigent
mafioso|der Mafioso
mag|may
Magazin (n)|magazine
Magazin (n)|store
magazine|Magazin (n)
magazine|Zeitschrift (f)
magazines|die Zeitschriften
Magen (m)|stomach
Magengas (n)|stomach gas
Magenschmerzen (f)|stomach ache
magenta|tiefrot
maggot|die Made
maggots|die Maden
magic|die Magie
magical|magisch
magically|auf magische Weise
magician|Magier, Zauberer
magicians|Magiere, Zauberer
Magier|magician
Magiere|magicians
magisch|magical
Magistergrad (m)|masters degree
Magistrat|magistrate
magistrate|Magistrat
magma|das Magma
magnesia|Magnesium
Magnesium|magnesia
magnesium|das Magnesium
magnet|der Magnet
Magnetband|magtape
Magnetbänder|magtapes
Magnete|magnets
Magnetfeldmesser|magnetometer
magnetic|magnetisch
magnetisch|magnetic
magnetisierbar|magnetizable
Magnetisierbare Materialien|magnetizables
magnetisieren|magnetize
Magnetisierer|magnetizer
magnetisiert|magnetized
magnetism|Magnetismus
Magnetismen|magnetisms
magnetisms|Magnetismen
Magnetismus|magnetism
Magnetit (Erz)|magnetite
magnetite|Magnetit (Erz)
magnetizable|magnetisierbar
magnetizables|Magnetisierbare Materialien
magnetize|magnetisieren
magnetized|magnetisiert
magnetizer|Magnetisierer
magnetoelectric|Elektromagnetisch
magnetometer|Magnetfeldmesser
magnetooptic|Magnetooptisch
Magnetooptisch|magnetooptic
magnets|Magnete
magnific|grossartig
magnification|Vergrösserung
magnifications|Vergrösserungen
magnificent|grossartig
magnifico|Bravo!
magnified|vergrössert
magnifier|Vergrösserer, Lupe
magnifies|vergrösserung (um)
magnify|vergrössern
magnifying|vergrössernd, Vergrösserungs-
magnitude|Grössenorgnund
magnolia|Magnolie
Magnolie|magnolia
magnum|Magnum (Name einer Waffe bzw. von Speiseeis)
Magnum (Name einer Waffe bzw. von Speiseeis)|magnum
magpie|Elster
magpies|Elstern
magtape|Magnetband
magtapes|Magnetbänder
Mahagoni (n)|mahogany
Mahagonibaum (m)|mahogany
Maharadscha|maharaja
Maharadschah|maharajah
maharaja|Maharadscha
maharajah|Maharadschah
Mahlzeit (f)|dinner
Mahlzeiten (pl)|meals
mahogany|Mahagoni (n)
mahogany|Mahagonibaum (m)
Mai|May
maid|Dienstmädchen (n)
maid|Mädchen (n)
maiden|jungfäulich
maidservant|Dienstmädchen
mail|aufgeben
mail|Briefpost (f)
mail|Post (f)
mail|versenden
mail order|Bestellung (f)
mailbag|der Postsack
mailbags|die Postsäcke
mailboat|das Postschiff
mailboats|die Postschiffe 
mailbox|Briefkasten (m)
mailboxes|die Briefkästen
mailed|verschickt
mailer|Briefumschlag
mailers|Briefumschläge
mailing|abschickend
mailings|Post, Briefe
mailman|der Postbote, der Briefträger
mailmen|Postbote
mailplane|Postflugzeug
mailplanes|Postflugzeuge
mails|Briefe
mailsack|Postsack
mailsacks|Postsäcke
maim|verstümmeln
maimed|verstümmelt
main|haupt
