646
Nabel|umbilicus
Nabel (m)|navel
Nabelschnur|umbilical
nach|after
nach|from
nach|to
nach hause|home
nach oben|up
Nachahmung (f)|take-off
Nachbar (m)|neighbor
Nachbarn|neighbors
Nachbarschaft|neighborship
Nachbarschaft (f)|neighborhood
nachdem|after
nachdenken|meditate
Nachdruck verboten|copy-protected
nachforschen|quest
Nachforschung (f)|quest
nachgeben|yield
nachgehen|follow
nachher|afterward
nachkommen|follow
Nachlassen|abatement
Nachlassen|abatements
nachlassen|flag
Nachlaß (m)|estate
Nachmittag|afternoon
Nachmittag (m)|afternoon
Nachmittagen|afternoons
Nachmittags|in the afternoon
nachos|Maischips
nachprüfen|revise
Nachricht (f)|message
Nachrichten (pl)|news
Nachrichten (pl)|news magazines
nachstellen|pursue
Nacht (f)|night
Nachtflucht (f)|night flight
nachtragen|resent
Nachtreisebus (m)|night coach
nachts|at night
nacken|neck
nackt|bare
nackt|naked
nackt|nude
Nackte (m)|nude
Nacktheit|nakedness
Nadel|needle
Nadel (f)|pin
Nadeln|needles
Nagel (m)|nail
Nagellack (m)|nail polish
nageln|nail
Nagelschere (f)|nail clippers
nah|close
nahe|near
nahe|nearby
nahegelegen|nearby
nahm an|adopted
Nahrung (f)|food
nail|Nagel (m)
nail|nageln
nail clippers|Nagelschere (f)
nail polish|Nagellack (m)
nailed|genagelt
nails|Nägel
naiv|naive
naiv|naively
naive|naiv
naive|unbefangen
naively|naiv
naked|nackt
nakedness|Nacktheit
name|benennen
name|die Name
name|Name (m)
name|nennen
Name (m)|name
name tag|Namestift (m)
nameable|nennbar
named|benannt
named|erwähnt
named|namte
nameless|namenlos
namelessly|namenlos
namely|nämlich
Namen|names
namenlos|nameless
namenlos|namelessly
Namensschild|nameplate
Namensschilder|nameplates
nameplate|Namensschild
nameplates|Namensschilder
names|Namen
Namestift (m)|name tag
namte|named
nanny|Kindermädchen
Nanometer|nanometers
Nanometer|nanometers
nanometers|Nanometer
nanometers|Nanometer
nanosecond|Nanosekunde
nanosecond|Nanosekunde
nanoseconds|Nanosekunden
nanoseconds|Nanosekunden
Nanosekunde|nanosecond
Nanosekunde|nanosecond
Nanosekunden|nanoseconds
Nanosekunden|nanoseconds
nap|Nickerchen (n)
nap|Noppe (f)
nap|schläfchen
napkin|Serviette (f)
napkins|Servietten (f)
narcissism|Narzisismus (m)
narcosis|Narkose
narcosis|Narkose
Narkose|narcosis
Narkose|narcosis
narrate|erzählen
narrate|erzählen
narrated|erzählte
narrates|erzählt 
narrating|erzählend
narration|Erzählung (f)
narrations|Erzählungen
narrator|Erzähler
narrators|Erzähler
narrow|eng, schmal
narrowed|verengt
narrower|enger, schmaler
narrowest|engst-, schmalst-
narrowing|verengend
narrowminded|engstirnig
Narzisismus (m)|narcissism
Nasalisierung|nasalization
nasalization|Nasalisierung
Nase (f)|nose
Nasenloch (n)|nostril
Nasetropfen (pl)|nose drops
naseweis|fresh
nass|damp
nass|wet
Nastuch (n)|handkerchief
nasty|übel
nasty|eklig
nasty|garst
nasty|garstig
nasty|unappetitlich
nasty|unartig
natal|geburts
nation|Nation (f)
nation|Volk (n)
Nation (f)|nation
national|nationally
national character|Volkscharakter (m)
national theater|Staatstheater (m)
nationalism|Nationalismus
Nationalismen|nationalisms
nationalisms|Nationalismen
Nationalismus|nationalism
nationalistic|nationalistisch
nationalistically|nationalistisch
nationalistisch|nationalistic
nationalistisch|nationalistically
nationally|national
nationals|Staatsbürger
Nationen|nations
nations|Nationen, Staaten
nationwide|landesweit
native|angeboren
native|eingeboren
native|Eingeborene (m)
native|gebürtig
native|heimatlich
natives|Eingeborenen 
Natur (f)|nature
Natur (f)|wildlife
natural|natürlich
natural|unbefangen
natural|ungekünstelt
natural|unverfänglich
naturalistic|naturalistisch
naturalistisch|naturalistic
naturally|natürlich
nature|Natur (f)
natürlich|natural
natürlich|naturally
natürlich|unadorned
naught|Zero, Nichts (n)
nausea|Übelkeit (f)
nausea|Ekel (m)
nauseated|übel
nauseated|ekelte sich
navel|Nabel (m)
navy|Flotte (f)
navy|Marine (f)
navy blue|marineblau
ndesten|healthiest
near|bei
near|nahe
nearby|nahe
nearby|nahegelegen
nearest|ganz nahe
nearest|nächst-
nearest|nächste
nearest|nächstliegend
nearly|beinahe
nearness|Nähe
nearsighted|kurzsichtig
nearsightedly|kurzsichtig
nearsightedness|Kurzsichtigkeit
neat|ordentlich
neatly|ordentlich
neben|close by
neben|next to
nebeneinander|abreast
Nebengebaeude|annex
Nebentreppen|backstairs
nebst|with
necessarily|notwendigerweise
necessary|notwendig
necessity|Notwendigkeit
neck|Ausschnitt (m)
neck|Hals (m)
neck|nacken
neckerchief|Halstuch
neckisch|cute
necklace|Halsband (n)
necklace|Halskette (f)
necklaces|Halskette
neckline|Ausschnitt
necktie|Krawatte (f)
necktie|Schlips (m)
necrophilia|Nekrophilie
necroses|Nekrosen
necrosis|Nekrose
nectar|Nektar
need|Bedarf (m)
need|Bedürfnis (n)
need|benötigen
need|benötigt
need|Not (f)
need|nötig
needed|benötigt
needed|notwendig
needle|Nadel
needles|Nadeln
needless|unnötig
needlessly|unnötigerweise
needy|bedürftig
needy|hilfsbedürftig
needy|notleidend
Neffe (m)|nephew
negate|negieren
negated|negiert
negates|negiert
Neger (m)|negro
negieren|negate
negiert|negated
negiert|negates
negro|Neger (m)
nehmen|take
neighbor|Nachbar (m)
neighborhood|Nachbarschaft (f)
neighbors|Nachbarn
neighborship|Nachbarschaft
nein|no
neither|keiner
neither|keiner weder
neither|weder
Nekrophilie|necrophilia
Nekrose|necrosis
Nekrosen|necroses
Nektar|nectar
nennbar|nameable
nennen|call
nennen|name
neoclassic|neoklassisch
neoclassical|neoklassisch
neoclassicism|Neoklassizismus
neoclassicist|neoklassizistisch
neoconservative|neokonservativ
Neofaschismus|neofascism
neofascism|Neofaschismus
neoklassisch|neoclassic
neoklassisch|neoclassical
Neoklassizismus|neoclassicism
neoklassizistisch|neoclassicist
neokonservativ|neoconservative
neoliberalism|Neoliberalismus
Neoliberalismus|neoliberalism
neophyte|Neuling
Neopren|neoprene
neoprene|Neopren
nephew|Neffe (m)
nephrectomy|Nephrektomie
Nephrektomie|nephrectomy
nepotism|Nepotismus
Nepotismus|nepotism
nereid|Nereide
Nereide|nereid
Nerv|nerve
nerve|Nerv
nervosity|Nervosität
Nervosität|nervosity
nervous|nervös
nervös|jumpy
nervös|nervous
Nerz (m)|mink
net|Netz (n)
net|vernetzen
nets|Netze (pl)
nett|nice
nett|pretty
nette person (f)|nice person
Nettwerk (n)|network
network|Nettwerk (n)
network|Netz (n)
network|Netzwerk (n)
network|vernetzen
Netz|web
Netz (n)|net
Netz (n)|network
netzartig|weblike
Netzbetreiber (m)|carrier
Netze (pl)|nets
Netzwerk (n)|network
neu|new
neu|novel
neuartig|novel
neue|new
neuen|new
Neuen (pl)|news
neuer|new
neuer|newer
neuerdings|lately
neues|new
neuest|newest
neueste|newest
neugebacken|fresh
Neugierde|curiosity
neugierig|curious
neugierig|nosy
Neuigkeit (f)|news
Neujahrstag (m)|New Year's Day
Neuling|neophyte
neun|nine
neunt-|ninth
neunte|ninth
neunter|ninth
neunzehn|nineteen
