809
paar|a few
pace|Schritt
pacemaker|Schrittmacher
pacemaking|Schrittmachen
pacesetter|Schrittmacher
pacesetting|schrittmachen
Pacht|lease
Pacht (f)|rent
pachyderm|dickhauter
pacific|pazifisch
pacificist|Pazifist
pacifier|Friedensstifter
pacifism|Pazifismus
pacifist|Pazifist
pacifistic|pazifistisch
pacifistically|pazifistisch
pacify|befrieden
pack|verpacken
package|konzentrieren
package|Packung (f)
package|Verpackung (f)
package|zusammenpacken
packaged|verpackt
packages|Verpackung
packaging|Verpackung
packagings|Verpackungen
packboard|Karton
PACKCHEN|packet
packed|VOLLSTOPFEN
packend|absorbing
packet|PACKCHEN
Packung (f)|package
page|auslagern
page|Page (m)
page|Seite (f)
page|Seitenweise (f)
Page (m)|bellhop
Page (m)|page
page number (...)|Seitenummer (...)
pain|Pein (f)
pain|Schmerz (m)
pain|schmerzen
painful|schmerzhaft
painful|schmerzlich
paint|anstreichen
paint|Farbe (f)
paint|Lack (m)
paint|malen
paint|streichen
painted|lackiert
painted|malte
painting|Bild (n)
painting|Gemälde (n)
painting|malend
painting|Malerei (f)
Palatschinke (pl)|pancakes
palm tree|Palme (f)
Palme (f)|palm tree
pancakes|Palatschinke (pl)
pancakes|Pfannkuchen (m)
Panne (f)|flat tire
panther|Panther (m)
Panther (m)|panther
panties|Höschen (pl)
panties|Schlüpfer (pl)
panty hose|Strumpfhose (f)
Panzer|armor
panzer|armored
Panzer|tank
Panzerkampfwagen|tank
Panzermann; Panzertruppe|tanker
Panzers|tanks
Panzertruppen|tankers
Papa|dad
Papa|daddy
paper|Papier (n)
paper napkin|Serviette (f)
paper punch|Papierstanze (f)
paper towel|Papiertuch (n)
paperback book|Taschenbuch (n)
papers|Papiere (pl)
Papier (n)|paper
Papiere (pl)|papers
Papierstanze (f)|paper punch
Papiertuch (n)|paper towel
Papst (m)|Pope
parade|Parade (f)
parade|Prunk (m)
Parade (f)|parade
paragraph|Absatz (m)
paragraph|Abschnitt (m)
paragraph|Paragraph (m)
Paragraph (m)|paragraph
parallel port|Paralleleluke (f)
Paralleleluke (f)|parallel port
parent|Eltern (f)
parent|Mutter (f)
parent|Vater (m)
parental|elterlich
Parfüm (n)|perfume
park|Park (m)
park|parken
Park (m)|park
parka|Parka (n)
Parka (n)|parka
parked|geparkt
parked|parkte
parken|park
parken|parking
Parkgarage (f)|parking garage
parking|parken
parking|Parkplatz (m)
parking garage|Parkgarage (f)
parking lot|Parkplatz (m)
Parkplatz (m)|parking
Parkplatz (m)|parking lot
parkte|parked
parkverbot|no parking
Partei (f)|party
Parterre (n)|ground floor
participle|Mittelwort (n)
participle|Partizip (n)
particle|Teilchen (n)
particular|einzelheiten
particular|einzeln speziell
particular|unständlich
Partizip (n)|participle
partner|Kompagnon (m)
partner|Partner (m)
partner|Teilhaber (m)
partner|Teilnehmer (m)
Partner (m)|partner
Partnerschaft (f)|partnership
partnership|Partnerschaft (f)
partridge|Rebhuhn (n)
parts|Stücke (pl)
parts|Teile (pl)
party|Gesellschaft (f)
party|Partei (f)
passend|proper
passendes|matches
passieren|happen
passiert|happens
passing prohibited|nicht überholen
passion|Glut (f)
passion|Leidenschaft (f)
passion|Passion (f)
Passion (f)|passion
passport|Paß (m)
passport|Reisepaß (m)
past|beendet
past|vergangen
past|Vergangenheit (f)
past|vorbei
past|vorüber
pasta|Pasta (f)
Pasta (f)|pasta
Pastete (f)|pie
Pasteur (m)|pastor
pastor|Pasteur (m)
Pastor (m)|minister
pastoral|pastoral-
pastoral|schäfer-
pastoral-|pastoral
pastry|Blätterteig (m)
pastry|Gebäck (n)
pathetic|rührend
Patrone (f)|cartridge
Paul|Paulus
Paulus|Paul
pauper|Arme (f)
pauper|Armer (m)
paved|pflasterte
Pavian|baboon
pazifisch|pacific
Pazifismus|pacifism
Pazifist|pacificist
Pazifist|pacifist
pazifistisch|pacifistic
pazifistisch|pacifistically
Paß (m)|passport
peach|Pfirsich (m)
peanut|Erdnuß (f)
pear|Birne
pear|Birne (f)
pearl|Perle
pearl|Perle (f)
pearls|Perlen
pearly|perlenartig; perlenfarbig
pears|Birnen
peas|Erbsen
peas|Erbsen (pl)
peasant|Kleinbauer
peasantry|Kleinbauernstand
peasants|Kleinbauern
peashooter|Blasrohr, Pusterohr
peasoup|Erbsensuppe (f)
peat|Torf
peaty|torfig
pebble|Kiesel, Kieselstein
pebble|Kiesel (m)
pebble|Kieselstein (m)
pebbled|gekiest, kieselig
pebbles|Kieselsteine
pecan|Pecanobaum
Pecanobaeume|pecans
Pecanobaum|pecan
pecans|Pecanobaeume
peccadillo|kleine Suende; Kavaliersdelikt
peccancy|Suendhaftigkeit
peccant|suendig, boese; krankhaft, faul
peculiar|eigenartig
peculiar|eigentümlich
peculiar|merkwürdig
peculiar|sonderlich
pedestrians|Füßgänger (pl)
pedicure|Pediküre (f)
Pediküre (f)|pedicure
Pein (f)|pain
peinlich|embarrassing
peinlich|embarrassingly
peinsam|embarrassing
Peitsche|whip
Pelze  (pl)|furs
pen|Feder (f)
pen|Lichtstift (m)
pen|schreiben abfassen
pencil|Bleistift (m)
pendeln|commute
penguin|Pinguin
penguins|Pinguine 
penicillin|Penizillin (n)
peninsula|Halbinsel
penis|Penis (m)
Penis (m)|penis
Penizillin (n)|penicillin
pension|Pension (f)
Pension (f)|guest house
Pension (f)|pension
pensionieren|retire
pensioniert|retired
people|bevölkern
people|Bevölkerung (f)
people|Leute (f)
people|Volk (n)
pepper|Pfeffer (m)
per|durch
per|with
per Anhalter fahren|hitchhike
per diem|taglich
percent|prozent
percentage|Prozent (n)
percentage|Prozentsatz (m)
perennial|beständig
perennial|dauernd
perfume|Parfüm (n)
period|Abschnitt (m)
period|Periode (f)
period|Punkt (m)
period|Zeitraum (m)
Periode (f)|period
periodical|Zeitschrift (f)
Perle|pearl
Perle (f)|pearl
Perlemutter (f)|mother of pearl
Perlen|pearls
perlenartig; perlenfarbig|pearly
permanent|dauerhaft
permanent|ständig
permanently|dauerhaft
permanently|ständig
permit|erlauben
permit|Erlaubnis (m)
permit|ermöglichen
permit|gestatten
permit|lassen
permit|zulassen
Perou|Peru
Perrücke|wig
person|Mensch (m)
person|Person (f)
Person (f)|person
personal|persönlich
personal check|Privatscheck (m)
perspective|perspektive
perspektive|perspective
persuasion|Überredung (f)
persuasion|Überzeugungskraft (f)
persönlich|personal
Peru|Perou
peruse|durchgehen
peruse|durchsehen
pessimist|Pessimist (m)
pessimist|Schwarzseher (m)
Pessimist (m)|pessimist
pet|Haustier (n)
pet|Schosstier (n)
Peter|Pieter
petrol|Benzin (n)
Pfahl (m)|post
Pfahlmuschel|abalone
Pfahlmuscheln|abalones
Pfannkuchen (m)|pancakes
Pfarrer (m)|minister
Pfarrer (m)|priest
Pfeffer (m)|pepper
Pfeife|whistle
pfeifen|whistle
Pfeiler (m)|pier
Pferd (n)|horse
Pfiff (m)|trick
Pfirsich (m)|peach
Pflanze (f)|plant
Pflanze (f)|vegetable
pflanzen|plant
Pflanzung (f)|plantation
Pflaster|bandaid
Pflaster (n)|adhesive bandage
pflasterte|paved
Pflaume (f)|plum
Pflege (f)|care
pflegen|nurse
Pflicht (f)|duty
Pflug (m)|plow
pflügen|plough
pflügen|plow
Pforte (f)|door
pfosten|post
pfotze|cunt
Pfund Sterling|Pounds Sterling
Pförtner (m)|doorman
Pförtner (m)|porter
pharmacy|Apotheke (f)
pharmacy|Apothekerkunst (f)
pheasant|Fasan (m)
Philosophie (f)|philosophy
philosophy|Grundanschauung (f)
philosophy|Philosophie (f)
philosophy|Weltanschauung (f)
phone|Telefon (n)
phone|telefonieren
phone number|Telefonnummer (f)
phony|falsch
phony|unecht
Photoapparat (m)|camera
photografieren|photograph
photograph|Lichtbild (n)
photograph|photografieren
photograph|Photographie (f)
photographer|Fotograf (m)
Photographie (f)|photograph
phrase|ausdrücken
phrase|Ausdruck (m)
phrase|Redewendung (f)
piano|Klavier (n)
Pickel (m)|pimple
pickled cabbage|Sauerkraut (m)
pickles|Essigfrüchte (pl)
picture|Bild (n)
picture|darstellen
picture|Darstellung (f)
picture|wiedergeben
picture frame|Bilderrahmen (m)
pie|Pastete (f)
pie|Torte (f)
pie|Tortenstück (n)
pier|Kaimole (f)
pier|Pfeiler (m)
pier|Pier (m)
Pier (m)|pier
Pieter|Peter
pig|Schwein (n)
pigeon|Taube (f)
pill|Tablette (f)
