684
rabauke|tough
rabbi|Rabbiner (m)
Rabbiner (m)|rabbi
rabbit|Kaninchen (n)
rabbits|Kaninchen
rabid|tollwütig
rabies|Tollwut
raccoon|Waschbaer, der
raccoons|Waschbaeren, plural
race|Rasse, die
racecourse|Rennbahn
racehorse|Rennpferd
racehorses|Rennpferde
racemate|Razemat
racemic|razemisch
races|Rassen
racetrack|Rennbahn
raceway|Rennstrecke, die
rachitic|rachitisch
rachitisch|rachitic
racial|Rassen-
racialism|Rassismus
racialist|Rassist
racialistic|rassistisch
racially|rassenmässig, Rassen-
racing|Rennen
racism|Rassismus
racist|Rassist
racists|Rassisten
racket|Racket, Tennisschläger
racketeer|Bandenmitglied
Rad|wheel
Rad (m)|bicycle
Radargerät|radarscope
Radargeräte|radarscopes
radarscope|Radargerät
radarscopes|Radargeräte
radfahren|biking
Radfahrer|biker
radiate|abstrahlen
radiate|ausstrahlen
radiate|strahlen
radiating|strahlend
radiation|Strahlung
radiative|Strahlungs-
radiator|Heizkörper (m)
radiator|Kühler (m)
radiators|Heizkörper
radical|radikal
radicalism|Radikalismus
radicalization|Radikalisierung
radicalize|radikalisieren
radicalized|radikalisiert
radically|radikal
radieren|erase
radikal|radical
radikal|radically
radikalisieren|radicalize
radikalisiert|radicalized
Radikalisierung|radicalization
Radikalismus|radicalism
radio|funken
radio|Radio (n)
radio|Rundfunk (m)
Radio (n)|radio
radioactive|radioaktiv
radioactively|radioaktiv
radioactivities|Radioaktivitäten
radioactivity|Radioaktivität
radioaktiv|radioactive
radioaktiv|radioactively
Radioaktivität|radioactivity
Radioaktivitäten|radioactivities
Radioastronomie|radioastronomy
radioastronomy|Radioastronomie
radiobiologic|strahlenbiologisch
radiobiological|strahlenbiologisch
radiobiologically|strahlenbiologisch
radiobiologist|Strahlenbiologe
radiobiology|Strahlenbiologie
radiobroadcast|Radiosendung
radiocarbon|Radiokarbon
radioecological|Strahlenökologisch
radioecologist|Strahlenökologe
radioecology|Strahlenökologie
Radiokarbon|radiocarbon
radiolarian|Radiolarium, Strahlentierchen
Radiolarium|radiolarian
Radiosendung|radiobroadcast
rag|fetzen
rag|Lappen (m)
rag|Lumpen (m)
rage|Koller (m)
rage|rasen
rage|Sucht (f)
rage|toben
rage|tosen
rage|wüten
rage|Wut (f)
Rahmen (m)|frame
rain|Regen (m)
rain|regnen
rain shower|Regenschauer (m)
raincoat|Regenmantel (m)
rainy|regnerisch
rainy season|Regenzeit (f)
raise|anheben
raise|erhöhen
raise|Erhöhung (f)
raise|heben
raise|lupfen
raised|hebte
raisins|Rosine (pl)
Rakete (f)|rocket
ram|Ramme (f)
ram|rammen
ram|Widder (m)
Ramme (f)|ram
rammen|ram
ramp|Rampe (f)
Rampe (f)|ramp
ranch|Ranch (f)
Ranch (f)|ranch
Rand (m)|edge
Rand (m)|rim
Rand (m)|side
randalieren|riot
rangieren|switch
rapier|Florett, das
rare|ausgefallen
rare|blutig
rare|knapp
rare|selten
rasch|quick
rasen|rage
rash|Ausschlag (m)
rash|übereilt
rash|hastig
rash|voreilig
rash|vorschnell
rash|waghalsig
rasieren|shave
Rasierer (m)|razor
Rasierklinge (f)|razor blade
Rasierkrem (f)|shaving cream
Rasiermesser (m)|razor
Rasierwasser (n)|after shave lotion
rasp|Raspel (m)
raspberry|Himbeere (f)
Raspel (m)|rasp
Rasse|race
Rassen|races
Rassen-|racial
Rassen-|racially
rassenmässig|racially
Rassismus|racialism
Rassismus|racism
Rassist|racialist
Rassist|racist
Rassisten|racists
rassistisch|racialistic
Rast (f)|rest
rasten|rest
Raster (m)|screen
Rasur (f)|shave
Rat|advice
rate|bewerten
rate|einstufen
rate|Rate (f)
rate|Verhältnis (f)
rate|Ziffer (f)
Rate (f)|rate
rate of exchange|Wechselkurs (m)
raten|advise
ratlos|helpless
Ratschlag|hint
Ratschläge|hints
rauben Pieter Paulus zu zahlen|rob Peter to pay Paul
Rauchen (n)|smoking
Rauchenteil (m)|smoking section
Rauchenwagen (m)|smoking car
raufen|fight
raufen|pull
