1933
saber|Saebel, der
sabertooth|Säbelzahn
sable|Zobel (m)
sabot|Holzschuh
sabotaged|sabotiert
Sabotagen|sabotages
sabotages|Sabotagen
sabotaging|sabotieren
sabotieren|sabotaging
sabotiert|sabotaged
sac|Sack, Beutel (anat., zö, Botanik)
saccharify|verzuckern, sacharifizieren, süssen
saccharin|Sacchrin
saccharin|Saccharin, das
saccharine|zuckersüß; Saccharin-
saccharose|Rohrzucker, Saccharose
Sacchrin|saccharin
sacharifizieren|saccharify
Sache|affair
sachlich|factual
sacht|soft
Sack|sac
sack|entlassen
sack|Sack (m)
Sack (m)|bag
Sack (m)|sack
sackcloth|Sackleinen
Sackleinen|sackcloth
sacrament|Sakrament
sacred|heilig
sacredness|Heiligkeit
sacrifice|opfern
sacrilege|Sakrileg
sacrilegious|gotteslästerlich, skrilegisch, frevelhaft, frevlerisch
sacristan|Sakristan
sacrosanct|sakrosankt
sacrum|Kreuzbein
sad|traurig
sadden|betrüben
saddened|betrübt
sadder|trauriger
saddest|am traurigsten
saddle|Sattel (m)
saddle|satteln
saddlebag|Satteltasche
saddlebags|Satteltaschen
saddlecloth|Satteldecke
saddled|gesattelt
saddler|Sattler
saddlery|Sattlerei, Sattelzeug
saddles|Sättel
sadism|Sadismus
Sadismus|sadism
Sadisten|sadists
sadistic|sadistisch
sadistically|sadistisch
sadistisch|sadistic
sadistisch|sadistically
sadists|Sadisten
sadly|traurig, traurigerweise, bedauerlich
sadness|Traurigkeit
sadomachosistisch|sadomasochistic
sadomasochism|Sadomasochismus
Sadomasochismus|sadomasochism
sadomasochist|Sadomsochist
sadomasochistic|sadomachosistisch
Sadomsochist|sadomasochist
Saebel|saber
Saeugling|babies
saeure|acid
safe|Geldschrank (m)
safe|sicher
safe|ungefährlich
safe|unversehrt
safe deposit box|Sicherheitskasten (m)
safecracker|Safeknacker
safeguard|Schutz
Safeknacker|safecracker
safely|sicher
safely|wohlbehalten
safer|sicherer
safety|Geborgenheit (f)
safety|Sicherheit (f)
safety|Sicherheitsfaktor (m)
Saft (f)|squash
Saft (m)|juice
saftig|juicy
sagittarius|Schütze (m)
sagte aus|stated
sah|saw
sah an|viewed
Sahne (f)|cream
sail|Segel (n)
sail|segeln
sailboat|Segelboot (n)
sailor|Matrose (m)
sailor|Seefahrer (m)
saint|Heilige (m)
saint|Sankt (m)
Sakrament|sacrament
Sakrileg|sacrilege
Sakristan|sacristan
sakrosankt|sacrosanct
salad|Salat (m)
salad dressing|Salatsoße (f)
salami|Salami (f)
Salami (f)|salami
Salat (m)|salad
Salatsoße (f)|salad dressing
Salbe (f)|ointment
sale|Ausverkauf (m)
sale|Schlußverkauf (m)
salesman|Verkäufer (m)
saleswoman|Verkäuferin (f)
Salm (m)|salmon
salmon|Lachs (m)
salmon|Salm (m)
salt|Salz (n)
salt|salzen
Salz (n)|salt
salzen|salt
Salzkartoffeln (pl)|boiled potatoes
sammeln|collect
Sammlung (f)|collection
sample|abfragen
sample|abtasten
sample|ausprobieren
sample|Muster (n)
sample|Probe (f)
Samstag (m)|Saturday
Samt (m)|velvet
sand|mit Sand bestreuen
sand|Sand (m)
Sand (m)|sand
Sandalen (pl)|sandals
sandals|Sandalen (pl)
sandwich|einklemmen
sandwich|Sandwich (m)
sandwich|zusammenpressen
Sandwich (m)|sandwich
sanft|gentle
sanft|mild
Sanftheit|gentleness
sang|gesungen
sanitary|gesundheits
sanitary|hygienisch
sanitary|sanitär
sanitary napkin|Binde (f)
sanitär|sanitary
sanitäre Einrichtungen (mil.)|ablutions
Sankt (m)|saint
Sardelle (f)|anchovy
Sardellen (pl)|anchovies
sardine|Sardine (f)
Sardine (f)|sardine
sat|gesessen
sat|saß
sat up|setzte auf
sateen|satin
Satellit (m)|satellite
satellite|Satellit (m)
satin|sateen
satin|Satin (m)
Satin (m)|satin
satisfy|befriedigen
satisfy|genügen
satisfy|zufriedenstellen
Sattel (m)|saddle
Satteldecke|saddlecloth
satteln|saddle
Satteltasche|saddlebag
Satteltaschen|saddlebags
Sattelzeug|saddlery
Sattler|saddler
Sattlerei|saddlery
Saturday|Samstag (m)
Saturday|Sonnabend (m)
Satz (m)|sentence
Satz (m)|set
Satzgegenstand (m)|subject
sauce|Sauce (f)
sauce|Soße (f)
sauce|Tunke (f)
Sauce (f)|sauce
saucer|Untertasse (f)
sauer|sour
Sauerkraut (m)|pickled cabbage
Sauerstoff (m)|oxygen
Sauger (m)|nipple
sausage|Bockwurst (f)
sausage|Bratwurst (f)
sausage|Wurst (f)
sautéed|geschwenkt
save|ersparen
save|retten
save|sichern
save|sichern retten
save|sparen
save|spart
savings|Einsparungen (pl)
savings|Ersparnisse (pl)
savings|Gespeichertes (pl)
saw|sah
saw|Säge (f)
saw|sägen
Saxophon (n)|saxophone
saxophone|Saxophon (n)
saß|sat
scam|Betrug (m)
scan|überfliegen
scan|untersuchen
Scandinavian|Skandinavier (m)
Scandinavian|skandinavisch
scarf|Krawatte (f)
scarf|Schal (m)
scene|Schauplatz (m)
scene|Szene (f)
schachmatt|exhausted
Schachtel (f)|box
schade|it's a pity
Schade (f)|pity
Schaden|damage
schaden|damaging
Schaeden|damages
Schaf (n)|sheep
schaffen|accomplish
schaffen|achieve
schaffen|create
schaffte|achieved
Schafgarbe (Botanik)|yarrow
Schakal (m)|jackal
Schal (m)|scarf
Schall (m)|ring
schalten|switch
Schalter (m)|desk
Schalter (m)|switch
Schaltung|gear
scham-|pubic
schamlos|infamous
Schampoon (n)|shampoo
schampunieren|shampoo
schane|beautiful
Schar (f)|host
scharfgewürzt|hot
Scharnier (n)|hinge
schatten|cloud
Schattenbaum (m)|shade tree
schattieren|shade
Schattierung (f)|shade
Schau (f)|show
schauen|look
schauen|see
schaukeln|rock
Schaumwein (m)|champagne
Schauplatz (m)|scene
Schauplatz (m)|theater
Schauspieler|actor
Schauspieler|actors
Schauspielerin|actress
Schauspielerinen|actresses
Schauspitze (f)|show lace
schaute|looked
Scheck (m)|check
Scheckkonto (n)|checking account
schedule|ansetzen
schedule|Fahrplan (m)
schedule|Liste (f)
schedule|Sendeplan (m)
schedule|Tabelle (f)
scheduled arrival|fahrplanmäßige Ankunft
scheduled bus|fahrplanmäßige Autobus
scheduled departure|fahrplanmäßige Abfahrt
scheduled flight|fahrplanmäßige Flucht
scheduled stop|fahrplanmäßige Halt
scheduled train|fahrplanmäßige Zug
scheduled trip|fahrplanmäßige Reise
Scheibe (f)|disk
Scheibelaufwerk (n)|disk drive
Scheide (f)|vagina
scheiden|leave
Schein (m)|light
scheinbar; anscheinend|apparent
Scheinwerfer (pl)|headlights
scheiss (m)|shit
scheisse (f)|shit
Scheitelpunkt (m)|zenith
scheitern|fail
