788
tabac|Tabak, der
Tabak|tabac
Tabak (m)|tobacco
Tabakhändler (m)|tobacco shop
Tabelle (f)|schedule
Tabelle (f)|table
tabernacle|Tabernakel, das
Tabernakel|tabernacle
table|Tisch
table|der Tisch
table|Tabelle (f)
table|Tafel (f)
table|Tisch (m)
table cloth|Tischtuch (n)
table wine|Tischwein (m)
tableau|Tablett
tablecloth|Tischtuch (n)
tablecloths|Tischtuecher
tables|die Tische
tables|tische
tablet|die Tablette
tabletop|Tischplatte, die
tablets|die Tabletten
Tablett|tableau
Tablett (n)|tray
Tablett (n)|tray table
Tablette (f)|pill
tableware|Tischgeschirr (n)
tabloid|Boulevardzeitung, die
taboo|Tabu, das
Tabu|taboo
taeglich|daily
Taenze|dances
Taenzer|dancer
Taenzer|dancers
Taenzerin|dancer
taenzerisch|dancelike
taetig|active
Taetigkeit|activity
Taetigkeiten|activities
Tafel (f)|table
Tafelfarben (f)|chemical
Tag (m)|day
Tagebuch (n)|diary
Tagebuch (n)|journal
Tagereise (f)|day trip
taglich|per diem
Tagung (f)|meeting
tail|beschatten
tail|folgen
tail|Schwanz (m)
tail|Schweif (m)
Taille|waistline
Taille (f)|waist
Taillenband|waistband
take|bringen
take|dauern
take|einnehmen
take|einschlagen
take|nehmen
take off|abrechnen
take time|hetzen Sie nicht
take time to smell the roses|haben Zeit die Rosen zu riechen
take-off|Nachahmung (f)
take-off|starten
takeoff|abfliegen
Tal|dale
Tal (n)|valley
tale|Märchen
talk about|reden
talk incessantly|ständig sprechen
talked to|redete auf
tall|groß
tall|gross
tall|lang
tall building|hoche Bau (m)
tampon|Tampon (m)
Tampon (m)|tampon
tan|Bräune (f)
tan|bräunen
tan|gelbbraun
tan|gerben
tank|Panzerkampfwagen
tank|Panzer
tanker|Panzermann; Panzertruppe
tankers|Panzertruppen
tanks|Panzers
Tankstelle (f)|gas station
Tante (f)|aunt
Tanz (m)|dance
Tanzboden (m)|dance floor
tanzen|dance
tanzend|dancing
tanzte alle Nacht|danced all night
tap|abzapfen
tap|Hahn (m)
tap|Wasserhahn (m)
tap|zapfen
tap|Zapfhahn (m)
tape|Band (n)
tape|Tonband (n)
tape|Zwirnband (n)
tape recorder|Tonbandgerät (n)
Tapete (f)|wallpaper
Tapeten|wallpapers
target_language|German
tarnen|screen
Tasche (f)|bag
Tasche (f)|handbag
Tasche (f)|pocket
Taschen|bags
Taschenbuch (n)|paperback book
Taschenlampe (f)|flashlight
Taschentuch (n)|handkerchief
Tasse (f)|cup
Tastatur (f)|keyboard
Tastaturfahrer (m)|keyboard driver
Taste (f)|key
Tasten (pl)|keys
Tastenanschlag|keystroke
Tastenanschläge|keystrokes
tat|did
Tatsache|fact
Tatsachen|facts
tatsächlich|real
tatsächlich wirklich|really
Taube (f)|pigeon
tauchen|dip
tauchen|dive
tauchen|duck
tauchend|diving
tauglich|fit
tauglich|useful
Taurus|Stier (m)
tausend|one thousand
Tausendfüssler|millipede
Tausendfüssler|millipedes
tausendneunhundertfünfundneunzig|nineteen hundred ninety five
tavern|Bierlokal (n)
tavern|Kneipe (f)
tavern|Schenke (f)
tavern|Taverne (f)
tavern|Wirtschaft (f)
Taverne (f)|tavern
tax|bestreuen
tax|strapazieren
tax|Streue (f)
tax burden|Steuerbürde (f)
taxation|Besteuerung (f)
Taxi|cab
taxi|Taxi (n)
Taxi (n)|cab
Taxi (n)|taxi
taxi driver|Taxifahrer (m)
taxi fare|Taxifahrpreis (m)
taxi meter|Taximeter (m)
taxi stand|Taxigestell (n)
Taxifahrer|cabdriver
Taxifahrer (m)|taxi driver
Taxifahrer(in)|cabby
Taxifahrpreis (m)|taxi fare
Taxigestell (n)|taxi stand
Taximeter (m)|taxi meter
Taxiplatz|cabstand
Taxis (pl)|cabs
tea|Tee (m)
tea cozy|Teewärmer (m)
tea pot|Teekanne (f)
tea room|Teeraum (n)
tea time|Teezeit (f)
teach|lehren
teacher|Lehrer (m)
teacher|Lehrerin (f)
teachers|Lehrer[Noun]
teardrop|Träne, die
tearful|tränenreich
tears|Tränen[Noun]
teaspoon|Teelöffel, der
Technik (f)|technology
Techniker (m)|engineer
Technologie (f)|technology
technology|Technik (f)
technology|Technologie (f)
Tee (m)|tea
Teebüchse|caddy
Teekanne (f)|tea pot
Teelöffel|teaspoon
Teeraum (n)|tea room
Teesemmel (f)|muffin
teeth|Zähne (pl)
teetotaler|Antialkoholiker (m)
Teewärmer (m)|tea cozy
Teezeit (f)|tea time
Teich (m)|pond
Teil (m)|portion
Teilchen (n)|particle
Teile (pl)|parts
Teilhaber (m)|partner
Teilnehmer (m)|partner
Teilstrecke (f)|hop
Telefon (n)|phone
Telefon (n)|telephone
Telefonbuch (n)|telephone directory
Telefonhäuschen (n)|telephone kiosk
telefonieren|phone
telefonieren|telephone
Telefonnummer (f)|phone number
Telefonnummer (f)|telephone number
telegram|Telegramm (n)
Telegramm|cablegrams
Telegramm (n)|telegram
Telegrammgeld (n)|wire money
telephone|Fernsprecher (m)
telephone|Telefon (n)
telephone|telefonieren
telephone booth|Fersprechzeller (m)
telephone directory|Telefonbuch (n)
telephone kiosk|Telefonhäuschen (n)
telephone number|Telefonnummer (f)
telephone operator|Telephonfräwlein (f)
Telephonfräwlein (f)|telephone operator
television|Fernsehen (n)
television news|Fernsehennachrichten (pl)
television program|Fernsehenprogramm (n)
telex|Telex (n)
Telex (n)|telex
tell me how|erzählen Sie mir wie
tell me when|erzählen Sie mir wann
tell me where|erzählen Sie mir woher
tell me why|erzählen Sie mir warum
Teller (m)|plate
temperate|gemäßigt
temperate|mässig
Temperatur (f)|temperature
temperature|Fieber (n)
temperature|Temperatur (f)
ten|zehn
ten thousand|zehntausend
tennis|Tennis (n)
Tennis (n)|tennis
tennis court|Tennisplatz (m)
tennis racket|Tennisschläger (m)
tennis shoes|Tennisschuhe (pl)
Tennisplatz (m)|tennis court
Tennisschläger|racket
Tennisschläger (m)|tennis racket
Tennisschuhe (pl)|tennis shoes
tenor|Grundhaltung (f)
tenor|Tenor (m)
Tenor (m)|tenor
tenth|zehnt-
tenth|zehnte
tepid|lauwarm
Termin (m)|deadline
Terminkalender (m)|diary
terrible|furchtbar
terrible|schrecklich
terrycloth|Spüllappen (m)
test|abfragen
Testament (n)|will
Teufel|devil
Teufel (m)|devil
Teufel (m)|fiend
Textbearbeitungssystem (n)|word processor
thank you|danke
thanks|bedankt
thanks|dank
thanks|Danke (pl)
thanks for the trouble|besten Dank für Ihre Mühe
that is all|das ist alles
that is it|daß ist es
that is not a problem|keine Problem
that is not mine|das gehört mir nicht
that is one way to say it|daß ist ein Weg es zu sagen
that is ten DM please|das macht zehn Mark bitte
that is too expensive for me|das ist mir zu teuer
that will be all|das ist alles
that's all|das ist alles
the|das
the|dem
the|den
the|der
the|des
the|die
the day before yesterday|Vorgestern (m)
theater|Schauplatz (m)
theater|Theater (n)
Theater (n)|theater
Theaterstück (n)|play
their|Ihr
their|Ihre
them|ihnen
them|Sie
Thema (n)|subject
Thema (n)|topic
then|da
then|damals
then|dann
there|da
there|dahin
there|dort
there|dorthin
there is something wrong with the (...)|es gibt etwas falsch mit (der) (...)
thereabouts|so ungefähr
these|diese
these|dieser
they|man
they|Sie
thief|Dieb (m)
thigh|Schenkel (m)
think about|denken darum
thinking about|dekend darum
third|dritt-
third|dritte
third|dritter
thirteen|dreizehn
thirty|dreißig
thirty|dreissig
thirty one|einunddreißig
this (...) is dirty|diese (...) ist schmutzig
this is (...)|dies ist (...)
this is a|dies ist ein (...)
this is broken|dies ist gebrochen
this is damaged|dies ist beschädigte
this is for you|dies ist für Ihn
this is my (...)|dies ist mein (...)
this is my first time in (...)|dies ist meine erste Zeit in (...)
this is not mine|dies ist nicht mein
this is the only room vacant|dies ist das einzige freie Zimmer
this is wrong|dies ist falsch
this is your seat|hier ist Ihr Platz
this seat is taken|dieser Platz ist besetzt
this way please|hier entlang bitte
thoroughfare|Durchfahrt (f)
thoroughfare|Verkehrsstraße (f)
those|jene
those|jener
thought about|dachte darum
three|drei
throat|Gurgel (f)
throat|Hals (m)
throat|Kehle (f)
Thronverzichter|abdicator
through traffic|Durchgangsverkehr (m)
thumb|abgreifen
thumb|Daumen (m)
thunder and lightning|Donner und Blitzen
thunder storm|Gewitter (n)
Thunfisch (m)|tuna
Thursday|Donnerstag (m)
thus|also
ticket|Billett (n)
ticket|der Zettel, das Etikett
ticket|die Fahrkarte, der Fahrschein
ticket|Eintrittskarte (f)
ticket|Fahrkarte (f)
ticket|Wahlliste (f)
ticket agent|Fahrkartenvertreter (m)
ticket clerk|Fahrkartenschreiber (m)
ticket office|Fahrkartenschalter (m)
tidy|aufräumen
tidy|ordentlich
tie|binden
tie|Bindung (f)
tie|knüpfen
tie|Punktgleichheit (f)
tie|Schlips (m)
tie up loose ends|fesseln die losen Ende
tied|verschnürte
tief|abyssal
tief|deeply
tiefrot|magenta
Tier|animal
Tier (n)|animal
Tiergärten|zoos
tierisch|animal
Tierkreis|zodiac
tierkreis|zodiac
Tierkreis-|zodiacal
Tierkreiszeichen (n)|sign of the zodiac
tiger|Tiger (m)
Tiger (m)|tiger
tight|fest
tight|knapp
tight|straff
tight|stramm
tile|Dachziegel (m)
tile|decken
tile|Fliese (f)
tilgen|delete
time|Zeit (f)
time|zeitlich
time|Zeitpunkt (n)
timely|rechtzeitig
timely|zeitgemäß
Tinte (f)|ink
Tinteblock (m)|ink pad
Tintedüse (f)|ink jet
Tintenfisch (m)|squid
tintinfische|squid
Tip|hint
tip|Scutthalde (f)
tip|Spitze (f)
tip|Trinkgeld (n)
tip|Wink (m)
tip|Zipfel (m)
tippen|type
Tips|hints
tired|müde
tires|ermüdet
Tisch|table
Tisch (m)|table
tische|tables
Tischgeschirr (n)|tableware
Tischgesellschaft (f)|dinner meeting
Tischler (m)|carpenter
Tischplatte|tabletop
Tischtuch (n)|table cloth
Tischtuch (n)|tablecloth
Tischtuecher|tablecloths
Tischwein (m)|table wine
tissue|Gewebe (n)
Titel (m)|title
title|Überschrift (f)
title|Titel (m)
to|an
to|auf
to|bei
to|nach
to|zu
to the|zum
to the right|rechts
toast|rösten
toast|Toast (m)
toast|Trinkspruch (m)
Toast (m)|toast
toasted|toastete
toastete|toasted
tobacco|Tabak (m)
tobacco shop|Tabakhändler (m)
toben|rage
Tochter (f)|daughter
today|heute
toddler|kleines Kind (n)
toe|Spitze (f)
toe|Zehe (f)
toenail|Zehennagel (m)
toes|Zehen (pl)
toilet|Toilette (f)
toilet bowl|Toilettenschale (f)
toilet paper|Toilettenpapier (n)
toilet tank|Toilettentank (m)
toilets|Toiletten
Toilette (f)|cloakroom
Toilette (f)|lavatory
Toilette (f)|toilet
Toiletten|toilets
Toilettenpapier (n)|toilet paper
Toilettenschale (f)|toilet bowl
Toilettentank (m)|toilet tank
token|Markierung (f)
token|Zeichen (n)
toll|crazy
toll|madcap
Tollkopf|madcap
Tollwut|rabies
tollwütig|rabid
Tomate (f)|tomato
Tomaten (pl)|tomatoes
Tomatensuppe (f)|tomato soup
tomato|Tomate (f)
tomato soup|Tomatensuppe (f)
tomatoes|Tomaten (pl)
tomorrow|Morgen (n)
ton|tonne (f)
Ton (m)|accent
Ton (m)|audio
Tonart (f)|key
Tonband (n)|tape
Tonbandgerät (n)|tape recorder
tongue|Zunge (f)
tonic|stärkend
tonic|Stärkungsmittel (n)
Tonkassette (f)|audio cassette
tonnage|Tonnage (f)
Tonnage (f)|tonnage
tonne (f)|ton
too|auch
too much|zuviel
tool|Gerät (n)
tool|Werkzeug (n)
tool kit|Werkzeug (n)
tooth|Zahn (m)
tooth ache|Zahnschmerzen (pl)
toothbrush|Zahnbürste (f)
toothpaste|Zahnpasta (f)
toothpick|Zahnstocher (m)
Topas (m)|topaz
topaz|Topas (m)
Topf (m)|pot
topic|Inhalt (m)
topic|Thema (n)
Torf|peat
torfig|peaty
Torte (f)|pie
Tortenstück (n)|pie
Torweg (m)|doorway
tosen|rage
tot|dead
tough|rabauke
tough|widerstandsfähig
tough|zäh
Tour (f)|excursion
tour bus|Reiseautobus (m)
tour guide|Reisehandbuch (n)
tourist|Tourist (m)
tourist|Touristin (f)
Tourist (m)|tourist
tourist guide|Reiseführer (m)
tourist-class ticket|touristklasse Fahrkarte (f)
Touristin (f)|tourist
touristklasse Fahrkarte (f)|tourist-class ticket
tow|schleppen
towel|Handtuch (n)
towels|Handtücher (pl)
town|Kleinstadt (f)
town|Stadt (f)
townhouse|Stadthaus (n)
traben|jog
Tracht (f)|costume
track|Spur, die
tractor|Schlepper (m)
tractor|Traktor (m)
tractor|Trecker (m)
tractor|Zugmaschine (f)
trade|Geschäft (n)
trade|Gewerbe (f)
trade|Handel (m)
trade|handeln
trade|Markt (m)
trademark|Handelsmarke (f)
trademark|Schutzmarke (f)
trademark|Warenzeichen (n)
tradeoff|Zielkonflikt
traffic|Verkehr (m)
traffic light|Verkehrsampel (m)
traffic light|Verkehrslicht (n)
traffic lights|Verkehrsampeln
tragen|bear
tragen|carry
tragen|shoulder
tragen|waft
tragen|wear
trailer park|Wohnwagenpark (m)
train|anlernen
train|Eisenbahnzug (m)
train|Schweif (m)
train|trainieren
train|Zug (m)
train station|Bahnhof (m)
train track|Bahngleis (n)
Trainer (m)|coach
trainieren|coach
trainieren|train
Traktor (m)|tractor
Tranchiermesser (n)|carving knife
trank|drank
tranpen|hitchhike
transfer|hinüberbringen
transfer|transferieren
transfer|umsteigen
transferieren|transfer
Transformator (m)|converter
Transformator (m)|transformer
transformer|Transformator (m)
transformer|Umformer (m)
