88
yacht|Jacht
yachting|Segeln
yachtsman|Segler
yam|Süßkartoffel (m)
yank|reißen
yankee|Nordstaatler (m)
yard|Elle (f)
yard|Hof (m)
yard|Werft
yardstick|Maßstab
yarn|Garn (n)
yarrow|Schafgarbe (Botanik)
yawn|Gähnen (n)
yawning|gähnend
ye|ihr, euch
yea|ja, ja doch
year|Jahr (n)
yearbook|Jahrbuch
yearlong|einjährig
yearly|jährlich
yearn|sehnen
yearn|sich sehnen
yearn|verlangen
yearning|Sehnsucht
years old|Jahre alt
yeast|Hefe (f)
yeast|Triebmittel (n)
yell|brüllen
yell|gellen
yell|schreien
yell|kreischen
yelled|schrie
yelling|schreiend
yellow|gelb
yellow fever|Gelbfieber (n)
yellowish|gelblich
yelp|kläffen, bellen
yeoman|Freiasse, Pächter
yes|ja
yes|jawohl
yes-man|Jasager (m)
yesterday|gestern
yet|bis jetzt sogar
yet|dennoch
yet|doch
yet|jedoch
yet|noch
yet|sogar
yield|Ausbeute (f)
yield|einbringen
yield|ergeben
yield|Ertrag (m)
yield|nachgeben
yield|weichen
yodel|jodeln
yodel|Jodler (m)
yoga|Joga (m)
yoghurt|Joghurt (m)
yogurt|Joghurt (m)
yoke|Joch (n)
yoke|zusammenkoppeln
yokel|dummer Bauer (m)
yolk|Eidotter (n)
yon|jener, jene, jenes
yonder|dort drüben
yonder|dortdrüben
you|du
you|Ihr
you|man
you|Sie
you|dich
you|euch
young|jung
younger|jünger
youngster|Junge (m)
your|dein
your|deine
your|euer
your|eure
your|Ihr
your|Ihre
your|Ihrer
yours sincerely|hochachtungsvoll
yourself|selber
yourself|selbst
yourself|sich
youth|Jugend (f)
youthful|jugendlich
