366
zack! |zap
zag|Zickzackteilstück (n)
zagged|im Zickzack (laufen etc.)
zagging|im Zickzack (gehen etc.)
zags|Zickzackteilstücke (pl.)
Zahl (f)|number
Zahlkarte (f)|money order
Zahlungsmittel (n)|currency
Zahlwort (n)|numeral
Zahn (m)|tooth
Zahnarzt (m)|dentist
Zahnbürste (f)|toothbrush
Zahnfloß (n)|dental floss
Zahnhelfer (m)|dental assistant
Zahnhelferin (f)|dental assistant
Zahnpasta (f)|toothpaste
Zahnschmerzen (pl)|tooth ache
Zahnstocher (m)|toothpick
zahnärztlich|dental
Zange (pl)|pliers
zanier|blöder
zanies|Possenreisser (pl.), Blödmänner (pl.)
zanily|närrisch, albern, lustig
zaniness|Spaßigkeit (f), Blödheit (f)
zany|Hanswurst, Possenreisser
zany|Speichellecker (m), Kriecher (m)
zany|blöd, blöde
zap|zack! 
zapfen|tap
Zapfhahn (m)|tap
Zar|tsar
zart|delicate
Zauber (m)|spell
Zauberei|wizardry
Zauberer|magician
Zauberer|magicians
Zauberer|wizard
Zauberer|wizards
zauberprüfen|spell-check
Zauberstab|wand
Zaun (m)|fence
Zaunkönig|wren
zeal|Eifer, Diensteifer
zeal|Eifer (m)
zealot|Eiferer
zealotry|Zelotismus
zealous|eifrig, begeistert
zealously|eifrig, begeistert
zealousness|Eifer
zebra|Zebra (n)
Zebra (n)|zebra
Zeche (f)|mine
Zechel (m)|bill
zechen|drink
zechen|quaff
Zeder (f)|cedar
Zehe|dactyl
Zehe (f)|toe
Zehen (pl)|toes
Zehennagel (m)|toenail
zehn|ten
zehnt-|tenth
zehntausend|ten thousand
zehnte|tenth
Zeichen (n)|sign
Zeichen (n)|token
Zeichengeber (m)|sender
Zeichentrickfilm (m)|cartoon
zeichnen (m)|crayon
zeichnend|drawing
Zeichnung (f)|drawing
Zeichnungpapier (n)|drawing paper
zeigen mir woher|show me where
Zeiger (m)|cursor
Zeiger (m)|hand
Zeile (f)|line
