576
I am American|ich bin Amerikaner
I am English|ich bin Engländer
I am having difficulty breathing|ich habe Schwierigkeiten beim Atmen
I am ill|ich bin krank
I am in a hurry|ich habe es eilig
I am ready|ich bin fertig
I am sorry to have troubled you|es tut mir leid, daß ich Sie belästigt habe
I am thirsty|ich habe Durst
I am tired|ich bin müde
I bought this yesterday|ich habe dies gerstern gekauft letzt
I came|ich kam
I do not eat meat|ich esse Fleisch nicht
I don't know|ich weiß nicht
I don't like this room|dieses Zimmer gefällt mir nicht
I don't speak German|ich spreche kein Deutsch
I don't speak much German|ich spreche nur wenig Deutsch
I don't understand|ich verstehe nicht
I entered|ich trat ein
I feel better now|mir geht es jetzt wieder besser
I feel dizzy|mir ist schwindlig
I feel sick|mir ist schlecht
I fell down and hurt my back|ich bin hingefallen und habe mir den Rücken ver
I flew|ich flog
I have|ich habe
I like (...)|ich mag (...)
I like it|es gefällt mir
I need|ich brauche
I said|ich sagte
I saw|ich sah
I see|ich sehe
I think I have food poisoning|ich glaube, ich habe eine Lebensmittelvergiftun
I think I've broken my ankle|ich glaube, ich habe mir den Knöckel gebrochen
I think I've caught the flu|ich glaube ich habe Grippe
I think I've sprained my ankle|ich glaube, ich habe mir den Fuß verstaucht
I want a quiet room|ich möchte ein ruhiges Zimmer
I want to buy a camera|ich möchte eine Kamera kaufen
I want to see the manager|ich möchte den Geschäftsführer sprechen
I want two seats for the matinee tomorrow|ich möchte zwei Plätze für die
I want two seats for tonight|ich möchte zwei Plätze für heute Abend
I went|ich ging
I will take it with me|ich nehme es gleich mit
I will take this myself|ich nehme dies selbst eln
I wish to change some American money|ich möchte Amerikanisches Geld einwechs
I wish to rent a large car|ich möchte einen grossen Wagen mieten
I wish to rent a small car|ich möchte einen kleinen Wagen mieten
I would like a hard boiled egg|ich möchte ein hart gekochtes Ei
I would like a soft boiled egg|ich möchte ein weich gekochtes Ei
I would like to (...)|ich wurde (...) mögen
I would like to make a toast|ich wurde einen Trinkspruch machen mögen
I'd like a glass of water please|ich möchte bitte ein Glas Wasser
I'll take this room|ich nehme dieses Zimmer
iambic|jambisch
iambus|Jambus
iambuses|Jamben
iatrogen|iatrogenic
iatrogenic|iatrogen
ibises|Ibisse
Ibisse|ibises
ice|cold
ice|Eis (n)
ice|Eis
ice|strong cold thing
ice cream|Eis (n)
ice cream cone|Eiskegel (m)
ice cream sundae|Eissundae (n)
ice cubes|Eiswürfel (pl)
iceberg|Eisberg
icebergs|Eisberge
icebreaker|Eisbrecher
iced melon|geeiste Melone (f)
ich|me
ich bin Amerikaner|I am American
ich bin Engländer|I am English
ich bin fertig|I am ready
ich bin hingefallen und habe mir den Rücken ver|I fell down and hurt my back
ich bin krank|I am ill
ich bin müde|I am tired
ich brauche|I need
ich esse Fleisch nicht|I do not eat meat
ich flog|I flew
ich ging|I went
ich glaube|I think I have food poisoning
ich glaube|I think I've broken my ankle
ich glaube|I think I've sprained my ankle
ich glaube ich habe Grippe|I think I've caught the flu
ich habe|I have
ich habe dies gerstern gekauft letzt|I bought this yesterday
ich habe Durst|I am thirsty
ich habe eine Lebensmittelvergiftun|I think I have food poisoning
ich habe es eilig|I am in a hurry
ich habe mir den Fuß verstaucht|I think I've sprained my ankle
ich habe mir den Knöckel gebrochen|I think I've broken my ankle
ich habe Schwierigkeiten beim Atmen|I am having difficulty breathing
ich heiße (...)|my name is (...)
ich kam|I came
ich mag (...)|I like (...)
ich möchte Amerikanisches Geld einwechs|I wish to change some American money
ich möchte bitte ein Glas Wasser|I'd like a glass of water please
ich möchte den Geschäftsführer sprechen|I want to see the manager
ich möchte ein hart gekochtes Ei|I would like a hard boiled egg
ich möchte ein ruhiges Zimmer|I want a quiet room
ich möchte ein weich gekochtes Ei|I would like a soft boiled egg
ich möchte eine Kamera kaufen|I want to buy a camera
ich möchte einen grossen Wagen mieten|I wish to rent a large car
ich möchte einen kleinen Wagen mieten|I wish to rent a small car
ich möchte zwei Plätze für die|I want two seats for the matinee tomorrow
ich möchte zwei Plätze für heute Abend|I want two seats for tonight
ich nehme dies selbst eln|I will take this myself
ich nehme dieses Zimmer|I'll take this room
ich nehme es gleich mit|I will take it with me
ich sagte|I said
ich sah|I saw
ich sehe|I see
ich spreche kein Deutsch|I don't speak German
ich spreche nur wenig Deutsch|I don't speak much German
ich trat ein|I entered
ich verstehe nicht|I don't understand
ich weiß nicht|I don't know
ich wurde (...) mögen|I would like to (...)
ich wurde einen Trinkspruch machen mögen|I would like to make a toast
ichbezogen|egotistical
icicle|Eiszapfen
icicles|Eisapfen
icicles|Eisapfen
icily|eisig
icy|eisig
identification|Ausweis (m)
identification|Identifizierung (f)
identification|Kennzeichnung (f)
Identifizierung (f)|identification
idiot|Cretin (m)
idiot|Dummkopf (m)
idiot|Idiot (m)
Idiot (m)|idiot
if|falls
if|wenn
ignite|anzünden
ignite|entzünden
ignite|zünden
ignition|Zündung (f)
ignorant|unwissend
ignore|auslassen
ignore|überhören
ignore|übersehen
ignore|ignorieren
ignore|unbeachtet
ignorieren|ignore
ihm|him
ihm selbst|himself
ihn|him
ihn selbst|himself
Ihn zu treffen|it is nice to meet you
ihnen|them
Ihr|her
Ihr|their
ihr|ye
Ihr|you
Ihr|your
Ihre|her
Ihre|their
Ihre|your
Ihrer|your
ill|übel
ill|krank
ill|kränklich
illness|Erkrankung (f)
illness|Krankheit (f)
im|in the
im Ausland|abroad
im Bausch und Bogen|wholesale
im Bett|abed
im gesicht|facial
im grunde genommen|essentially
im Stich lassen|abandon
im Zickzack (gehen etc.)|zagging
im Zickzack (laufen etc.)|zagged
im Zickzack (laufen etc.)|zigzag
im Überfluss vorhanden sein|abound
image|abbilden
image|Abbildung (f)
image|Bild (n)
image|Ebenbild (n)
Imbisch|cafeterias
Imbiß (m)|snack
Imbißstube (f)|snack bar
Imbusstube (f)|refreshment bar
Imbusstube (f)|snack bar
Imbuß (m)|snack
immer|always
immer dein|forever yours
immernoch|still
immigrant|Einwanderer (m)
immigrate|einwandern
immigrate|zuwandern
impfen|vaccinate
Impfung|vaccination
Impfungen|vaccinations
import|einführen
import|Einfuhr (f)
import|Import (m)
import|Importation (f)
import|importieren
Import (m)|import
Importation (f)|import
importer|Importeur (m)
Importeur (m)|importer
importieren|import
Impuls|momentum
Impulse|momentums
in|at
in Abwesenheit|absently
in Begleitung|accompanied
in Blüte|abloom
in der Hölle|below
in der letzten Zeit|lately
in Einzelteilen|unassembled
in Flammen|ablaze
in ordnnung|it is all right
in ordnnung|ok
in ordnung|okay
in the|im
in the afternoon|Nachmittags
in the evening|Abends
in the morning|Morgens
in Wallung|aboil
in what way|wie
inability|Unfähigkeit
inaccessible|unzugänglich
inaccuracies|Ungenauigkeiten
inaccuracy|Ungenauigkeit
inaccurate|ungenau
inaccurately|ungenau
inactivate|deaktivieren
inalienable|unveräusserlich
inanimate|leblos
inanimately|leblos
inanimateness|Leblosigkeit
Inc.|GmbH
incision|Einschnitt (m)
incision|Schnitt (m)
include|aufnehmen
include|beifügen
include|einbeziehen
include|einrechnen
include|einschließen
incorporated|eingetragen
incorporated|inkorporiert
incorporated|verbunden
incorporated|vereint
indent|auszacken
indent|Einbeulung (f)
indent|eindrücken
indent|einkerben
indent|einrücken
Inder (m)|Indian
India|Indien
Indian|Inder (m)
Indian|Indianer (m)
Indian|indianisch
Indian|indisch
Indian Ocean|indianische Meer (n)
Indian tribe|indianische Volksstamme (m)
Indianer (m)|Indian
indianisch|Indian
indianische Meer (n)|Indian Ocean
indianische Volksstamme (m)|Indian tribe
Indien|India
indigenous|eingeboren
indigenous|einheimisch
indigenous|ortsansässig
indisch|Indian
industrial|industriell
industrial district|industrielle Bezirk (m)
industriell|industrial
industrielle Bezirk (m)|industrial district
inept|unpassend
inept|untüchtig
inexpensive|billig
infamous|niederträchtig
infamous|ruchlos
infamous|schamlos
infamous|schändlich
infamous|verrucht
infamous|verrufen
infamous character|niederträchtige Charakter (m)
inflate|aufblasen
inflate|aufpumpen
inflate|hochtreiben
information|Aufschluß (m)
information|Auskunft (f)
information|Information (f)
Information (f)|information
Informationsaustausch (m)|conversation
informieren Sie mir|let me know
Ingenieur (m)|engineer
ingrown toenail|einwachsene Zehennagel (m)
Inhaber (m)|proprietor
inhale|einatmen
inhale|inhalieren
inhalieren|inhale
Inhalt (m)|topic
inherent|angeboren
inherent|anhaftend
inherent|innewohnend
ink|Tinte (f)
ink jet|Tintedüse (f)
ink pad|Tinteblock (m)
inkorporiert|incorporated
inmitten|midst
inn|Gasthaus (n)
inn|Wirtshaus (n)
innen|inside
innenseite|inside
inner-|internal
innere|inside
innerhalb|inside
innerlich|internal
innewohnend|inherent
innig|intimate
insect|Insekt (n)
insect bite|Insektbiß (m)
insect repellent|Insektenmittel (n)
insecticide|Insektengift (n)
insecticide|Insektenpulver (n)
Insekt (n)|insect
Insektbiß (m)|insect bite
Insektengift (n)|insecticide
Insektenmittel (n)|insect repellent
Insektenpulver (n)|insecticide
Insel (f)|island
Inserat (n)|ad
Inserat (n)|advertisement
insert|Beifügung (f)
insert|einfügen
insert|Einlage (f)
insert|einlegen
inset|Einsatz (m)
inside|drinnen
inside|innen
inside|innenseite
inside|innere
inside|innerhalb
insider|Eingeweihte (m)(f)
insider|Mitglied (n)
insipid|fade
insipid|flau
insipid|geschmacklos
insipid|seicht
install|einbauen
install|einrichten
install|einsetzen
install|installieren
installation|Einbau (m)
installation|Installation (f)
installation|Installierung (f)
Installation (f)|installation
installieren|install
Installierung (f)|installation
Instandhaltung|maintenance
instead|dafür
instead|statt
instead|stattdessen
instead of (...)|anstatt (...)
instep|Rist (m)
instep|Spann (m)
instruct|anleiten
instruct|anweisen
instruct|auftragen
instruct|einweisen
instruct|unterrichten
instructions|Anleitungen (pl)
instructions|Anweisungen (pl)
instructions|Aufträge (pl)
instructor|Instrukteur (m)
instructor|Lehrer (m)
Instrukteur (m)|instructor
insufferable|unausstehlich
insufferable|unerträglich
Insulaner (m)|islander
insult|Beleidigung, singular, female
insults|Beleidigungen , plural, female
insurance|Versicherung (f)
insurance policy|Versicherungspolice (f)
insure|versichern, sicherstellen
insured|versichert
insurer|Versicherer, male
inszenieren|stage
Intellektueller|egghead
intelligent|verständig
intelligent|intenationale Bediener
intelligent|international operator
intenationale Bediener|intelligent
intenationale Handel|international trade
interessant|interesting
Interesse (f)|interest
interessieren|interest
interessiert|interested
interest|Interesse (f)
interest|interessieren
interest|Zins (m)
interest|zinsen
interested|interessiert
interesting|interessant
interesting|spannend
Interfis|blowfish
intern|internal
internal|inner-
internal|innerlich
internal|intern
international airline|internationale Luftverkehrsgesellschaft (f)
international akzeptiert|internationally accepted
international arrivals|internationale Ankünfte (pl)
international call|internationale Ruf (m)
international convention|internationale Konvention (f)
international departures|internationale Abfahrten (pl)
international operator|intelligent
international trade|intenationale Handel
internationale Abfahrten (pl)|international departures
internationale Ankünfte (pl)|international arrivals
internationale Konvention (f)|international convention
internationale Luftverkehrsgesellschaft (f)|international airline
internationale Ruf (m)|international call
internationally accepted|international akzeptiert
Internet|Internet (n)
Internet (n)|Internet
interpreter|Dolmetscher (m)
Interpunktion|punctuation
intim|intimate
intimate|andeuten
intimate|familiär
intimate|innig
intimate|intim
intimate|stimmungsvoll
intimate|vertraut
intolerance|Intoleranz (f)
Intoleranz (f)|intolerance
invitation|Aufforderung (f)
invitation|Einladung (f)
invite|auffordern
invite|bitten
invite|einladen
invoice|Rechnung (f)
invoice|Warenrechnung (f)
invoice in|Rechnung stellen
iodine|Jod (n)
Ireland|Irland
irgend|any
irgendein|any
irgendetwas|anything
irgendetwas|something
irgendjemand|anybody
irgendwie|somehow
irgendwo|anywhere
irgendwo|somewhere
irgendwohin|anywhere
irgendwohin|somewhere
irisch|Irish
Irish|irisch
Irland|Ireland
iron|bügeln
iron|Eisen (n)
iron|eisern
iron|Plätteisen (n)
iron|plätten
Ironie (f)|irony
irony|Ironie (f)
irre|lost
irre|wrong
Irrgarten|labyrinth
Irrgärten|maces
Irrlicht|wisp
Irrweg|aberration
is a service charge included|hat man eine Bedienung eingeschlossen
is it (...)|gibt es (...)
is it for one night only|ist es nur für eine Nacht
is it open all day|öffnet es alle Tag
is that true|ist das treu
is that your final price|ist das Ihre endliche Preis
is the (...) fresh|ist (der) (...) frisch
is the service charge included|ist Bedienung einbegriffen
is the swimming pool heated|ist das Schwimmbecken erhitzte
is there a (...)|gibt man (ein) (...)
is there a Bank near here|gibt es eine Bank hier in der Nähe
is there a beach|gibt man einen Strand
is there a cover charge|gibt man eine Deckegebühr (f)
is there a direct flight to (...)|fliegt das Flugzeug nach (...) direkt
is there a doctor here|bleibt ein Arzt hier
is there a doctor who speaks English|bleibt ein Arzt hier, wie Englisch spri
is there a doctor's office near here|gibt es hier in der nähe eine Arztprakt
is there a faster way to get there|gibt man einen schneller Weg dort zu fa
is there a flight to (...) today|heute fliegt das Flugzeug nach (...)
is there a minimum charge|gibt man eine Mindestgebühr
is there a place to eat there|gibt man dort einen Platz zu essen
is there a restaurant here|gibt hier man ein Restaurant
is there a service in English|gibt man ein Dienst in Englisch
is there a shorter way to get there|gibt man ein kürzer Weg, dort zu fahren
is there a special rate for children|gibt es für Kinder Ermässigung
is there a through train to (...)|Fährt ein Zug durch nach (...)
is there an elevator|gibt es ein Fahrstuhl
is there an entrance fee|gibt man ein Einfahrtgebühr
