466
oaf|der Tölpel
oak|Eiche
oak tree|Eiche (f)
oaken|eichen
oaks|Eichen
oakwood|Eichenholz
oar|Ruder
oars|Ruder
oarsman|Ruderer
Oase|oasis
Oasen|oases
oases|Oasen
oasis|Oase
oat|Hafer (m)
oath|Schwur
oaths|Schwuere
oatmeal|Hafermehl
oats|Hafer
ob|whether
ob oder|whether
obedience|Gehorsam
obedient|gehorsam
obediently|gehorsam
obeisance|Gehorsam
obeisant|gehorsam
obeisantly|gehorsam
oben|overhead
oben getreten|kicked upstairs
obengenannt|abovementioned
ober|upper
Ober (m)|waiter
Oberarm (m)|upper arm
obere Stabe (f)|upper case
oberer|upper
Obergrenze (f)|limit
Oberkellner (m)|headwaiter
Oberschicht (f)|upper crust
obese|fett
obese|fettleibig
obesity|Fettleibigkeit
obey|gehorchen
obeyed|gehorcht
obeys|gehorcht
obgleich|although
Obhut (f)|charge
object|Objekt
objection|Einwand
objections|Einwände
objective|objektiv
objectively|objektiv
objects|Objekte
Objekt|object
Objekte|objects
objektiv|objective
objektiv|objectively
Obliegenheit (f)|duty
obligate|verpflichten
obligates|verpflichtet
obligation|Verpflichtung
obligations|Verpflichtungen
obligatorisch|obligatory
obligatory|obligatorisch
Oboen|oboes
oboes|Oboen
Obrigkeit (f)|government
obscene|obszön
observation|Beobachtung
observations|Beobachtungen
Observatorien|observatories
observatories|Observatorien
Observatorium|observatory
observatory|Observatorium
observe|beobachten
observed|beobachtet
observer|Beobachter
observers|Beobachter
observes|beobachtet
Obst (n)|fruit
obstacle|Hindernis
obstacles|Hindernisse
obstinacy|Hartnäckigkeit
obstinate|hartnäckig
obstinately|hartnäckig
Obstsaft (m)|fruit juice
obszön|obscene
obtain|erhalten
obtainable|erhältlich
obtainably|erhältlich
obtained|erhalten
obvious|offensichtlich
obviously|offensichtlich
obwohl|although
ocarina|Okarina
occasion|Gelegenheit
occasional|gelegentlich
occasional|zufällig gelegentlich
occasionally|gelegentlich
occasions|Gelegenheiten
occident|Okzident
occult|okkult
occultism|Okkultismus
occupation|Beschäftigung
occupations|Beschäftigungen
occupied|belegt
occupied|beschäftigen
occupied|besetzt
occur|geschehen
ocean|Meer (n)
ocean|Ozean (m)
ocean view|Meerblick (m)
ocean view|Ozeanblick (m)
oceans|Ozeane
ocelot|Ozelot
Ochsenschanzsuppe (f)|oxtail soup
octagon|Oktagon
octagonal|oktagonal
octagonally|oktagonal
octagons|Oktagone
octane|Oktan
October|Oktober
octopus|Oktopus
octosyllabic|achtsilbig
oder|or
odious|verhasst
odiously|verhasst
odor|Geruch
Oedem|edema
Oedeme|edemas
of|aus
of|bei
of|über
of|des von
of|von
of the|der
of the|des
Ofen (m)|stove
offen|ajar
offen|open
offen|openly
offene|opened
offenherzig|openhearted
offenherzig|openheartedly
offensichtlich|obvious
offensichtlich|obviously
offer|aussetzen
office|Abteilung (f)
office|Amt (n)
office|Büro (n)
office|Geschäftsstelle (f)
office|Kontor (n)
official|offiziell
offiziell|official
ohne|without
ohne Fruchtblätter|acarpellous
ohne Fruchtblätter|acarpelous
