128
quack|Quacksalber
Quacksalber|quack
quad|Vierling
quadrangle|Viereck
quadraphonic|quadrophon(isch)
quadraphony|Quadrophonie
Quadrat (n)|square
quadrat-|square
quadratic|quadratisch
quadratically|quadratisch
quadratisch|quadratic
quadratisch|quadratically
Quadratur|quadrature
quadrature|Quadratur
quadricentennial|Vierhundertjahrestag (m)
quadrilateral|vierseitig
quadripartite|Viermächte
quadrisyllabic|viersilbig
quadrivalent|vierwertig
quadrophon(isch)|quadraphonic
Quadrophonie|quadraphony
quadruped|Vierbeiner
quadruped|Vierfüßer
quadruple|vierfach
quadruple|vervierfachen
quadrupled|vervierfacht 
quadruples|Vierlinge
quadruplet|Vierlinge (m)
quaff|zechen
quagmire|Sumpf, Moorboden
quail|Wachtel (f)
quaintly|seltsam, niedlich
quake|Beben
quaker|Quäker
quaker|Quäker
quakers|Quäker
qualification|Eigenschaft
qualification|Qualifikation
qualified|qualifiziert
qualified|geeignet
Qualifikation|qualification
qualifiziert|qualified
quality|Beschaffenheit (f)
quality|Eigenschaft (f)
quality|Güte (f)
quality|Qualität (f)
Qualität (f)|quality
quarrel|Streit
quarry|Steinbruch
quart|Quart (n)
Quart (n)|quart
quarter|vierteilen
quarter|Viertel (n)
quarterfinal|Viertelfinale
quarterly|vierteljährlich
quartet|Quartett
Quartett|quartet
quartz|Quarz
Quarz|quartz
quasseln|waffle
Quatsch|applesauce
quatschen|gab
quay|Kai (m)
quay|Uferstraße (f)
queen|Königin (f)
queer|merkwürdig
queer|seltsam
queer|sonderbar
quench|durst löschen
quench|löschen
quench|stillen
quer|across
querab|abeam
query|abfragen
query|Anfrage (f)
query|Frage (f)
query|fragen
quest|nachforschen
quest|Nachforschung (f)
quest|Suche (f)
question|Abfrage (f)
question|anzweifeln
question|befragen
question|Frage (f)
question|fragen
question|Problem (n)
questionable|bedenklich
questionable|fraglich
questionable|fraglich bedenklich
questionable|fragwürdig
questioning|Befragung (f)
questioning|fragend
quetschen|bruise
quetschen|squeeze
quetschte|squeezed
Quetschung (f)|bruise
quick|lebhaft
quick|rasch
quick|regsam
quick|schnell
quiet|beruhigen
quiet|geräuscharm
quiet|Leise (f)
quiet|ruhig
quiet|still
quilt|Steppdecke (f)
quit|aufgeben
quit|aufhören
quit|quittieren
quit|verlassen
quite|durchaus
quite|ganz
quite|schlechthin
quite|vollständig
quite|ziemlich
quittieren|quit
quiz|ausfragen
quiz|Quiz (n)
Quiz (n)|quiz
quizzical|komisch
quizzical|seltsamkomisch
quote|anbieten
quote|anführen
quote|Zitat (n)
quote|zitieren
Quäker|quaker
Quäker|quaker
Quäker|quakers
