667
V-Hals (n)|v-neck
v-neck|V-Hals (n)
vacancies|Zimmer frei
vacant|frei
vacant|ledig
vacant|leer
vacant|unbesetzt
vaccinate|impfen
vaccinated|geimpft
vaccination|Impfung
vaccinations|Impfungen
vacillate|schwanken
vacillate|schwankern
vacuum|Hohlraum (n)
vacuum|Vakuum (n)
Vaeter|daddies
vage|unassertive
vagina|Scheide (f)
vagrant|Landstreicher (m)
Vakuum (n)|vacuum
valley|Tal (n)
vanilla|vanille
vanille|vanilla
variabel|variable
variable|variabel
variable|veränderlich
variant|abweichend
variant|Variante (f)
Variante (f)|variant
variieren|vary
vary|abwandeln
vary|ändern
vary|sich verändern
vary|variieren
vary|verändern
Vater|dad
Vater (m)|father
Vater (m)|parent
Vati|daddy
VDU|computer screen
veal|Kalb (n)
veal|Kalbfleisch (n)
vector|Vektor
vectors|Vektoren
vegetable|Gemüse (n)
vegetable|Pflanze (f)
vegetables|Gemüse
vegetarian|Vegetarier (m)
vegetarian|Vegetarierin (f)
vegetarians|Vegetarier
Vegetarier|vegetarians
Vegetarier (m)|vegetarian
Vegetarierin (f)|vegetarian
vegetate|vegetieren
vegetated|vegetiert
vegetates|vegetiert
vegetating|vegetierend
vegetieren|vegetate
vegetierend|vegetating
vegetiert|vegetated
vegetiert|vegetates
vehemence|Vehemenz
vehement|vehemently
vehemently|vehement
Vehemenz|vehemence
vehicle|Fahrzeug
vehicles|Fahrzeuge
veil|Schleier
veiled|verschleiert
veils|Schleier
Vektor|vector
Vektoren|vectors
velocities|Geschwindigkeiten
velocity|Geschwindigkeit
velvet|Samt (m)
veneer|Furnier (n)
venerable|ehrwürdig
venerate|verehren
venerated|verehrt
venerates|verehrt
veneration|Verehrung
venison|Rehfleisch (n)
venison|Wildbret (n)
venom|Gift
venomous|giftig
venomously|giftig
ventilate|belüften
ventilated|belüftet
ventilates|belüftet
ventilation|Belüftung
Ventilator (m)|fan
ventriloquist|Bauchredner
Verabredung (f)|date
verachted|abhorred
verachten|abhor
Verachtung|abhorrence
Verachtung (f)|contempt
verallgemeinernd|generalizing
Verallgemeinerung|generality
verandern|change
veranderte meine Meinung|changed my mind 
veranstalten|put on
verarbeiten|process
verb|Verb (n)
verb|Zeitwort (n)
Verb (n)|verb
verband|joined
Verband (m)|association
Verband (m)|bandage
verbannen|banishing
Verbanner|banisher
verbannt|banished
verbannt|banishes
Verbannung|banishment
verbessern|amend
verbessern|upgrade
verbessert|upgraded
verbietbar|abolishable
verbieten|forbid
Verbieter|abolishers
verbinden|bandage
verbinden|bandaging
verbinden|connect
verbinden|contact
verbinden|join
Verbindlichkeit (f)|courtesy
Verbindung|alliance
Verbindung (f)|combination
Verbindung (f)|connection
Verbindung (f)|contact
Verbindung (f)|join
Verbindungen|alliances
Verbindungen (pl)|connections
Verbindungsgang (m)|vestibule
verbirgt sich|absconds
verblühen|wither
verbot|banned
verboten|forbidden
Verbrauch|consumption
verbraucht|used
Verbrechen|felony
Verbrecher|felon
Verbrecher (m)|criminal
verbrecherisch|criminal
Verbreitung (f)|spread
Verbreitungsblatt (n)|spread sheet
verbrennen|burn
verbuchen|book
Verbuendete|ally
verbunden|incorporated
verdammt|damned
verdammt(vulg.)|dammit
verdecken|hood
verdichten|compact
verdienen|earn
verdienen|earning
verdient|earned
verdient|earns
verdolmetschen|translate
verdoppeln|double
verdorren|wither
verdrahten|wire
verdrießen|grieve
verdunkeln|darken
verehren|adore
verehren|venerate
verehrt|venerated
verehrt|venerates
Verehrung|veneration
Verehrung (f)|worship
vereinbaren|agree
Vereinbarung (f)|agreement
vereinigen|get together
vereinigt|united
vereinigte|united
vereint|incorporated
Vereinte Königreich (n)|United Kingdom
Vereinte Staats Amerika|United States of America
vereitert|ulcerated
Vereiterung|ulceration
verengend|narrowing
verengt|narrowed
verfahren|process
verfassen|write
Verfasser (m)|author
Verfassung (f)|state
verfehlen|miss
verfertiger|abbreviator
verfilmen|film
verfolgen|pursue
Verfügbarkeit|availability
vergangen|past
vergangene|bygone
Vergangenheit (f)|past
Vergaser (m)|carburetor
vergass|forgot
vergebbar|forgettable
vergebbar|forgiveable
vergebbar|forgiveably
vergeben|forgive
vergeben|forgiven
vergeblich|unavailing
vergeblich|unavailingly
vergessen|forget
vergessen|forgotten
vergessend|forgetting
Vergesser|forgetter
vergesslich|forgetful
vergesslich|forgetfully
Vergesslichkeit|forgetfulness
vergeuden|waste
vergewissern|confirm
vergiften|poison
vergittert|grilled
verglasen|glass
vergnügen|amuse
vergnüglich|amusing
vergoldete|gilded
Vergrösserer|magnifier
vergrössern|magnify
vergrössernd|magnifying
vergrössert|magnified
Vergrösserung|magnification
vergrösserung (um)|magnifies
Vergrösserungen|magnifications
Vergrösserungs-|magnifying
verhaftete|arrested
verhalten|be
verhasst|odious
verhasst|odiously
verhaßt|abhorrent
verheiratet|married
Verhältnis (f)|rate
Verhängnis (n)|destiny
verhäßtlich|abhorrently
verhüllen|envelope
Verirrung|aberrancy
verkalken|calcify
verkaufen|sell
Verkaufsstand (m)|kiosk
Verkehr (m)|traffic
Verkehre (f)|relations
Verkehrsampel (m)|traffic light
Verkehrsampeln|traffic lights
Verkehrsflugzeug (n)|airliner
Verkehrslicht (n)|traffic light
Verkehrsstraße (f)|thoroughfare
verkehrt|wrong
Verkleiden (m)|case
verknüpfen|associate
verknüpfen|connect
verknüpfte|knotted
verkommen|decay
verkommen|deteriorate
verkrampfen|cramp
Verkäufer (m)|clerk
Verkäufer (m)|salesman
Verkäuferin (f)|saleswoman
verkümmern|wither
verkürzt|abbreviated
verladen|ship
verlaesst|abandons
verlangen|ask
verlangen|long for
verlangen|require
