928
Waage (pl)|libra
waagerecht|horizontal
Wachskerze (f)|candle
wacht aus|watch out
Wachtel (f)|quail
wackeln|waddle
wackeln|wag
wackeln|waggle
wacklig|waggly
wacky|verrückt
wad|Bausch
wadding|Wattierung, Watte
waddle|watscheln, wackeln
Wade|calf
Wade|calve
wade|waten
wader|Watvogel, Wasserstiefel
Waehrung|currency
wafer|Waffel, Hostie
Waffe|weapon
Waffe (f)|arm
Waffel|wafer
Waffel|waffle
Waffel (pl)|waffles
Waffen|weapons
waffle|Waffel, quasseln
waffles|Waffel (pl)
waft|wehen, tragen, Hauch
wag|wackeln, wedeln, schütteln
wage|Lohn, unternehmen
wagen|dare
Wagen|wain
Wagen (m)|car
Wagen (m)|coach
Wagenheber (m)|jack
Wagenladung|wagonload
Wagenladungen|wagonloads
wager|Wette
wagers|Wetten
wages|Lohn
waggery|Schelmerei, Spass
waggle|wackeln, wedeln
waggly|wacklig, sich windend
Waggon|wagon
Waggons|wagons
waghalsig|rash
Wagnis (n)|hazard
wagon|dogcart
wagon|Waggon
wagoner|Fuhrmann
wagonload|Wagenladung
wagonloads|Wagenladungen
wagons|Waggons
wagt|dares
Wahl|ballot
Wahl (f)|election
Wahl (f)|option
Wahl (f)|selection
Wahlen|elections
Wahlliste (f)|ticket
Wahlmöglichkeit (f)|option
Wahlurne|ballot
wahr|real
wahr|true
wahren|maintain
wahren|uphold
wahrend|upholding
wahrhaftig|true
wahrscheinlich|likely
wahrscheinlich geeignet|likely
waif|herrenloses Gut, Strandgut
wail|klagen, heulen
wain|Wagen
wainscot|Holzverkleidung, täfeln
waist|Taille (f)
waistband|Gurtband, Taillenband
waistcoat|Weste (f)
waistcoats|Weste
waistline|Taille
wait|abwarten
wait|warten
wait|wartezeit
wait here|bleiben Sie hier
wait until the cows come home|bleiben Sie bis die Kühe nach Hause kommen
waited|gewartet
waiter|Kellner (m)
waiter|Ober (m)
waiters|Kellner
waiting|Bedienung (f)
waiting|wartend
waiting room|Warteraum (m)
waitress|Bedienung (f)
waitress|Kellnerin (f)
waitresses|Kellnerin
waits|wartet
wake|wecken
wake|aufwachen
Wal|whale
Wald (m)|forest
Wald (m)|wood
walisisch|welsh
walk|Gang (m)
walk|gehen
walk|laufen
walk|spazieren
walk|spazierengehen
walk|Spaziergang (m)
walked|ging
walking|gehend
walkingstick|Gehstock
wall|die Bauer (oustide wall)
wall|Mauer (f)
wall|Wand (f)
walled|vermauerte
wallet|Brieftasche (f)
wallets|Brieftaschen
wallflower|Mauerblümchen
wallpaper|Tapete (f)
wallpapers|Tapeten
walnut|Walnuß (f)
walnuts|Baumnüsse
Walnuß (f)|walnut
Walross|walrus
walrus|Walross
waltz|Walzer
Walzer|waltz
wand|Stab
wand|Zauberstab
Wand (f)|wall
wandeln|wander
wander|herumziehen
wander|umherwandern
wander|wandeln
wander|wandern
wandern|migrate
wandern|wander
